"ds_name","overlapping.F2_partial.0","overlapping.F2_partial.1","overlapping.F3_partial.0","overlapping.F3_partial.1","overlapping.F4_partial.0","overlapping.F4_partial.1","neighborhood.N1_partial.0","neighborhood.N1_partial.1","neighborhood.N2_partial.0","neighborhood.N2_partial.1","neighborhood.N3_partial.0","neighborhood.N3_partial.1","neighborhood.N4_partial.0","neighborhood.N4_partial.1","neighborhood.T1_partial.0","neighborhood.T1_partial.1","linearity.class.L1_partial.0","linearity.class.L1_partial.1","linearity.class.L2_partial.0","linearity.class.L2_partial.1","linearity.class.L3_partial.0","linearity.class.L3_partial.1"
"D1","0.341597413250357","0.619100886351423","0.973684210526316","0.966442953020134","0.973684210526316","0.966442953020134","0.730263157894737","0.657718120805369","0.502224283017526","0.499062667486091","0.552631578947368","0.469798657718121","0.0332225913621262","0.0398671096345515","1","1","0.166374127752095","0.188614555323249","0.427631578947368","0.476510067114094","0.365448504983389","0.448504983388704"
"D2","0.306875456614907","0.631644957129309","0.934426229508197","0.954128440366973","0.934426229508197","0.954128440366973","0.631147540983607","0.651376146788991","0.497125162706677","0.509115976184898","0.409836065573771","0.513761467889908","0.12987012987013","0.186147186147186","0.885245901639344","0.908256880733945","0.144261908451962","0.208822127605973","0.229508196721312","0.403669724770642","0.203463203463203","0.359307359307359"
"D3","0.355992186629583","0.385822971481952","0.968152866242038","0.975308641975309","0.968152866242038","0.975308641975309","0.726114649681529","0.666666666666667","0.507019825044607","0.499487524381729","0.585987261146497","0.475308641975309","0.0595611285266458","0.0313479623824451","1","1","0.200283576746828","0.171473106940287","0.445859872611465","0.450617283950617","0.463949843260188","0.470219435736677"
"D4","0.215164814752627","0.231046507196071","0.960264900662252","0.946666666666667","0.960264900662252","0.946666666666667","0.695364238410596","0.66","0.502566453729788","0.498998053712973","0.549668874172185","0.506666666666667","0.0332225913621262","0.0465116279069767","1","1","0.191736299387322","0.168479284147562","0.377483443708609","0.393333333333333","0.335548172757475","0.325581395348837"
"D5","0.442217554632299","0.197557314767155","0.943262411347518","0.949685534591195","0.943262411347518","0.949685534591195","0.716312056737589","0.622641509433962","0.506626717132654","0.495503373940912","0.609929078014184","0.471698113207547","0.0233333333333333","0.04","1","1","0.21661593719821","0.161922113349903","0.439716312056738","0.339622641509434","0.423333333333333","0.33"
"D6","0.472511091682081","0.0229532653027126","0.942857142857143","0.246153846153846","0.942857142857143","0.246153846153846","0.742857142857143","0.523076923076923","0.494957727308867","0.494489780106337","0.447619047619048","0.435897435897436","0.01","0.0433333333333333","1","1","0.499954741832658","0","1","0","1","0"
"D7","0.561049155016755","0.00936461266163093","0.982758620689655","0.248730964467005","0.982758620689655","0.248730964467005","0.620689655172414","0.517766497461929","0.481656522933775","0.493206366852884","0.310344827586207","0.406091370558376","0.00958466453674121","0.0543130990415335","1","0.99492385786802","0.49998464578178","0","1","0","1","0"
"D8","0.611613999722857","0.0162765909700003","0.98","0.308056872037915","0.98","0.308056872037915","0.74","0.478672985781991","0.496841284666291","0.490345936836239","0.45","0.37914691943128","0.0192926045016077","0.045016077170418","1","0.995260663507109","0.499970712711329","0","1","0","1","0"
"D9","0.43029636266437","0.0131554522509446","0.95049504950495","0.315270935960591","0.95049504950495","0.315270935960591","0.722772277227723","0.541871921182266","0.499208676526139","0.48937209819966","0.524752475247525","0.41871921182266","0.0131578947368421","0.0394736842105263","1","0.990147783251232","0.499977408966292","0","1","0","1","0"
"D10","0.578946841186183","0.00773278815564046","0.980392156862745","0.21","0.980392156862745","0.21","0.676470588235294","0.56","0.494403034018605","0.497398377996015","0.372549019607843","0.49","0.00993377483443709","0.0397350993377483","1","1","0.499965340144924","0","1","0","1","0"
"D11","0.466214875069939","0.0233030793536661","0.94392523364486","0.253807106598985","0.94392523364486","0.253807106598985","0.747663551401869","0.522842639593909","0.494582072206553","0.495123447438108","0.457943925233645","0.426395939086294","0.0197368421052632","0.0657894736842105","1","1","0.499959394261268","0","1","0","1","0"
"D12","0.661198028510699","0.0459710541402382","0.98501872659176","0.28133704735376","0.98501872659176","0.28133704735376","0.50936329588015","0.47075208913649","0.477824108254443","0.492311445072632","0.198501872659176","0.381615598885794","0.00958466453674121","0.0766773162939297","1","1","0.499935200599606","0","1","0","1","0"
"D13","0.264920571058584","0.0337001953679218","0.961290322580645","0.245901639344262","0.961290322580645","0.245901639344262","0.438709677419355","0.448087431693989","0.472747318094531","0.492854150127294","0.193548387096774","0.39344262295082","0","0.0532544378698225","0.987096774193548","1","0.212221601493063","0.142973130080978","0.464516129032258","0.295081967213115","0.461538461538462","0.292899408284024"
"D14","0.327300285130267","0.0458857949407125","0.981029810298103","0.259562841530055","0.981029810298103","0.259562841530055","0.428184281842818","0.521857923497268","0.46969876464788","0.495227141923798","0.132791327913279","0.450819672131148","0.00408163265306122","0.0816326530612245","0.997289972899729","0.997267759562842","0.163520741599969","0.197984814766038","0.425474254742547","0.442622950819672","0.434013605442177","0.470748299319728"
