,Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
0,1.0,NOR,SVM_lin,0.5081967213114754,0.5166666666666667,0.5,0.5,0.5,0.5049726775956284,0.006653215849278455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,NOR,SVM_lin,0.5106382978723404,0.5434782608695652,0.43478260869565216,0.5217391304347826,0.5217391304347826,0.5064754856614246,0.03739615137890913,0.0,0.0,0.3181818181818182,0.0,0.0,0.06363636363636363,0.12727272727272726,0.0,0.0,0.3888888888888889,0.0,0.0,0.07777777777777778,0.15555555555555556,0.0,0.0,0.35000000000000003,0.0,0.0,0.07,0.14,0.0,0.0,0.4151487502672805,0.0,0.0,0.0830297500534561,0.1660595001069122
2,3.0,NOR,SVM_lin,0.515625,0.515625,0.5,0.5,0.5079365079365079,0.5078373015873016,0.0069878884847234595,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.515625,0.515625,0.5,0.5,0.5079365079365079,0.5078373015873016,0.0069878884847234595,0.6804123711340206,0.6804123711340206,0.6666666666666666,0.6666666666666666,0.6736842105263158,0.673568457225538,0.006147538366486821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,NOR,SVM_lin,0.5737704918032787,0.5,0.5,0.5,0.5,0.5147540983606558,0.029508196721311462,0.6,0.0,0.0,0.0,0.0,0.12,0.24000000000000002,0.5625,0.0,0.0,0.0,0.0,0.1125,0.22500000000000003,0.5806451612903225,0.0,0.0,0.0,0.0,0.11612903225806451,0.23225806451612901,0.5736133349779414,0.0,0.0,0.0,0.0,0.11472266699558828,0.22944533399117656
4,5.0,NOR,SVM_lin,0.5166666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.53,0.006666666666666643,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5166666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.53,0.006666666666666643,0.6813186813186815,0.6956521739130436,0.6956521739130436,0.6956521739130436,0.6956521739130436,0.6927854753941711,0.0057333970377448475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,NOR,SVM_lin,0.65,0.65,0.65,0.65,0.65,0.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.65,0.65,0.65,0.65,0.65,0.65,0.0,0.787878787878788,0.787878787878788,0.787878787878788,0.787878787878788,0.787878787878788,0.787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.0,NOR,SVM_lin,0.6190476190476191,0.6349206349206349,0.6349206349206349,0.6290322580645161,0.6290322580645161,0.6293906810035842,0.005803389445502378,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6190476190476191,0.6349206349206349,0.6349206349206349,0.6290322580645161,0.6290322580645161,0.6293906810035842,0.005803389445502378,0.7647058823529412,0.7766990291262136,0.7766990291262136,0.7722772277227723,0.7722772277227723,0.7725316792101825,0.004384203421717252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,NOR,SVM_lin,0.6825396825396826,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6784434203789041,0.0020481310803891705,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6825396825396826,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6784434203789041,0.0020481310803891705,0.8113207547169812,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8084179970972423,0.0014513788098693857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,NOR,SVM_lin,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6666666666666666,0.6677595628415299,0.006372625021688861,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6666666666666666,0.6677595628415299,0.006372625021688861,0.8039215686274509,0.8039215686274509,0.8039215686274509,0.7920792079207921,0.8,0.800768782760629,0.004602606087778145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10.0,NOR,SVM_lin,0.6557377049180327,0.6557377049180327,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6622950819672131,0.005354075940509685,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6557377049180327,0.6557377049180327,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6622950819672131,0.005354075940509685,0.7920792079207921,0.7920792079207921,0.8,0.8,0.8,0.7968316831683169,0.003880379790547612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
