@relation D0
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute class {0, 1}
@data
0.15677,1.41028,0.4196,1.43053,0.553081,1.59345,0.283651,1.38243,0.268854,1.42391,0.5191,1.63662,0.611513,1.34107,0.525624,1.56171,0.355913,1.19543,0.26961,1.43029,1
0.88671,1.26562,0.50896,1.61574,0.247153,1.28659,0.400775,1.59466,0.373376,1.23251,0.618823,1.75194,0.529455,1.52116,0.592982,1.48183,0.428061,1.33457,0.608061,1.56387,1
0.43289,1.71537,0.443291,1.40725,0.406037,1.40736,0.78144,1.49385,0.231139,1.57297,0.261969,1.60349,0.549115,1.52804,0.498082,1.66324,0.380261,1.67292,0.462583,1.42637,1
0.0266,1.00592,0.532204,1.25366,0.656291,1.57729,0.475916,1.248,0.45474,1.48129,0.435014,1.6499,0.42555,1.30356,0.596776,1.48039,0.628185,1.67971,0.648187,1.74112,1
0.407402,1.93264,0.615864,1.7209,0.339491,1.51048,0.286765,1.45453,0.186284,1.29225,0.714173,1.53123,0.44397,1.29111,0.734949,1.59091,0.323922,1.52128,0.645346,1.65801,1
0.304354,1.19405,0.507536,1.5304,0.295531,1.25778,0.496427,1.65705,0.554198,1.37704,0.377533,1.54507,0.415524,1.39495,0.714959,1.69975,0.567576,1.46856,0.696461,1.62521,1
0.647044,1.44205,0.386364,1.42442,0.33193,1.37717,0.483961,1.62926,0.402757,1.57204,0.466322,1.305,0.667811,1.52912,0.630756,1.5326,0.617705,1.73637,0.2521,1.35132,0
0.00359094,1.26197,0.538357,1.52747,0.450611,1.63598,0.785033,1.55969,0.55655,1.61124,0.669852,1.51681,0.547722,1.32747,0.554468,1.60093,0.596414,1.6694,0.483814,1.74282,1
0.530625,1.38478,0.567367,1.57077,0.653015,1.53697,0.419287,1.3673,0.66684,1.62066,0.644605,1.60078,0.600715,1.68685,0.496476,1.37129,0.43751,1.36401,0.652516,1.56378,0
0.889435,1.94643,0.486517,1.30484,0.308712,1.26318,0.485117,1.51366,0.687924,1.4981,0.250301,1.42905,0.36805,1.46124,0.540267,1.37282,0.652679,1.48366,0.753947,1.8365,1
