@relation D0
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute class {0, 1}
@data
0.435028,1.58884,0.552577,1.47911,0.483225,1.39752,0.617701,1.82675,0.388543,1.27374,0.465252,1.62457,0.733862,1.63088,0.500099,1.31548,0.472999,1.57175,0.663968,1.62478,0
0.513864,1.53804,0.452526,1.44831,0.320451,1.52232,0.633382,1.55574,0.380959,1.251,0.494554,1.41832,0.698255,1.54158,0.522008,1.4336,0.718462,1.52705,0.25354,1.28545,0
0.444976,1.62666,0.558111,1.56267,0.693909,1.69148,0.611134,1.51132,0.777135,1.48963,0.471338,1.53132,0.707384,1.55906,0.341566,1.26807,0.319236,1.51771,0.569288,1.69783,0
0.488141,1.63769,0.583933,1.65681,0.358338,1.41908,0.788005,1.64398,0.540696,1.57863,0.62528,1.58428,0.39383,1.45731,0.477859,1.32138,0.445466,1.65028,0.777836,1.54262,0
0.501755,1.50026,0.500123,1.43727,0.650872,1.55502,0.592547,1.46567,0.60671,1.68514,0.382245,1.21087,0.714757,1.65904,0.617412,1.31718,0.368746,1.3289,0.406503,1.80097,0
0.33213,1.82999,0.406933,1.29919,0.611309,1.75979,0.643198,1.65672,0.517702,1.77302,0.339315,1.16837,0.47726,1.43525,0.317776,1.35998,0.677447,1.60195,0.396887,1.52677,1
0.515431,1.47605,0.578649,1.62462,0.491963,1.8154,0.673323,1.46954,0.542101,1.39199,0.673124,1.61066,0.511142,1.63925,0.278204,1.35776,0.559302,1.48035,0.788115,1.68135,0
0.598254,1.37745,0.434358,1.50694,0.402203,1.26195,0.516906,1.4667,0.531188,1.41922,0.338888,1.47477,0.167828,1.32173,0.475291,1.46317,0.520261,1.34892,0.249662,1.39061,0
0.702936,1.24063,0.611477,1.59301,0.375787,1.33989,0.351967,1.54204,0.399436,1.45351,0.378157,1.69553,0.391043,1.54457,0.3007,1.45981,0.597789,1.46964,0.313527,1.3363,1
0.563415,1.50498,0.399846,1.456,0.666947,1.65646,0.352167,1.40028,0.693315,1.48558,0.60673,1.44158,0.304461,1.51058,0.437703,1.47939,0.656341,1.7003,0.253353,1.43018,0
0.506591,1.54286,0.436157,1.72917,0.275312,1.52454,0.529432,1.69245,0.365001,1.45741,0.315665,1.34877,0.525116,1.74821,0.387195,1.45248,0.755945,1.56119,0.405817,1.34051,0
0.560804,1.39321,0.617763,1.5758,0.621948,1.59636,0.625499,1.74683,0.898528,1.5758,0.718186,1.55823,0.594736,1.62714,0.835669,1.55357,0.263674,1.31099,0.726103,1.57531,0
0.530707,1.4493,0.790597,1.5055,0.435997,1.58129,0.544892,1.49614,0.329273,1.34637,0.466719,1.72367,0.787984,1.54887,0.504172,1.70617,0.317512,1.44633,0.416682,1.47916,0
0.438213,1.58672,0.581884,1.61393,0.681344,1.51869,0.293287,1.38791,0.74466,1.62295,0.318398,1.3043,0.637722,1.47807,0.394407,1.52393,0.712273,1.56017,0.568079,1.72369,0
0.487615,1.44639,0.484228,1.46251,0.507553,1.28256,0.393996,1.37727,0.494589,1.59535,0.365134,1.42998,0.364572,1.42257,0.499208,1.11042,0.355971,1.48432,0.514072,1.5419,0
0.46653,1.42132,0.307186,1.48324,0.373336,1.57103,0.630816,1.4139,0.547248,1.59541,0.527928,1.51457,0.302084,1.39045,0.581175,1.44578,0.687965,1.61197,0.537049,1.52801,0
0.517025,1.44216,0.716097,1.86795,0.441293,1.46398,0.555104,1.42654,0.562701,1.53831,0.502504,1.56716,0.525346,1.53709,0.634438,1.49479,0.650634,1.5339,0.435303,1.34176,0
