@relation multiple
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@data 
0.503067,1.40951,0.684309,1.71846,0.392016,1.43293,0.475806,1.33603,0.393251,1.42578,0.45758,1.39912,0.768654,1.57118,0.421304,1.57005,0.585074,1.55539,0.546391,1.57529,0
0.435164,1.44385,0.419231,1.51286,0.519062,1.43345,0.258174,1.3844,0.433255,1.35212,0.399508,1.72216,0.328058,1.52664,0.604823,1.36813,0.353058,1.52708,0.320578,1.23252,0
0.553942,1.46829,0.624159,1.43023,0.49995,1.49845,0.557992,1.67341,0.414666,1.61281,0.691148,1.58462,0.591698,1.69316,0.540356,1.72148,0.483812,1.38606,0.537589,1.37979,0
0.388109,1.40333,0.317772,1.58284,0.45659,1.66154,0.511189,1.28736,0.541355,1.37727,0.333146,1.34725,0.65374,1.48149,0.57032,1.62131,0.335342,1.75123,0.611332,1.60444,0
0.459211,1.52521,0.771931,1.48029,0.438319,1.6058,0.624447,1.65782,0.618597,1.66297,0.613145,1.57048,0.244366,1.61438,0.475918,1.35688,0.699808,1.62014,0.481517,1.81228,0
0.586495,1.46464,0.374268,1.24882,0.292638,1.38836,0.577079,1.69087,0.339902,1.46261,0.584817,1.62815,0.444602,1.68983,0.340559,1.323,0.617319,1.64461,0.26972,1.36522,0
0.537953,1.62784,0.709965,1.70008,0.56168,1.47586,0.474523,1.67929,0.344467,1.46026,0.316701,1.43502,0.407949,1.46866,0.374269,1.47445,0.39036,1.40991,0.758613,1.56889,0
0.45549,1.5191,0.184506,1.45828,0.571411,1.72535,0.400163,1.40357,0.414048,1.33849,0.383133,1.34283,0.561443,1.62142,0.698892,1.58132,0.544564,1.32146,0.386243,1.70066,0
0.524851,1.63152,0.564083,1.5681,0.506687,1.43502,0.791262,1.46801,0.490012,1.67272,0.367304,1.42102,0.404005,1.74298,0.528327,1.66808,0.361146,1.4506,0.443938,1.46133,0
0.637298,1.42532,0.778644,1.6685,0.601006,1.3097,0.431049,1.2925,0.582626,1.45407,0.557862,1.58307,0.521487,1.46428,0.407638,1.33621,0.514883,1.30627,0.699502,1.61172,0
0.492653,1.57251,0.452936,1.56237,0.469037,1.33204,0.417286,1.57519,0.386402,1.28855,0.611869,1.54193,0.578205,1.58692,0.36483,1.38297,0.691846,1.47503,0.291715,1.37067,0
0.661403,1.49867,0.559183,1.50003,0.676993,1.52361,0.298904,1.34295,0.222734,1.39144,0.61356,1.45526,0.805912,1.63787,0.586257,1.65686,0.373541,1.36206,0.216437,1.46685,0
0.619384,1.45792,0.411729,1.48097,0.589493,1.54546,0.308144,1.58607,0.590213,1.56415,0.20505,1.51637,0.511179,1.54025,0.515413,1.63801,0.540612,1.71921,0.184252,1.5257,0
0.386412,1.50652,0.2679,1.47327,0.44997,1.70469,0.31756,1.43257,0.555015,1.50612,0.615348,1.46284,0.684556,1.57413,0.576378,1.51173,0.570835,1.7151,0.512748,1.52158,0
0.595832,1.50599,0.474623,1.29003,0.278336,1.55655,0.39718,1.47762,0.659989,1.68477,0.276389,1.42366,0.686898,1.65808,0.642475,1.64553,0.617763,1.56852,0.494997,1.58398,0
0.484667,1.50678,0.3999,1.39662,0.406131,1.5754,0.437639,1.389,0.493105,1.24174,0.353735,1.26588,0.71496,1.57469,0.541532,1.63913,0.502566,1.34413,0.499965,1.67968,0
0.51717,1.44537,0.825618,1.69217,0.570276,1.79415,0.491932,1.29981,0.38416,1.60327,0.305526,1.4347,0.228965,1.54744,0.543893,1.83063,0.152018,1.44451,0.479805,1.63406,0
0.554043,1.58694,0.504575,1.66348,0.433853,1.29538,0.340521,1.61252,0.404817,1.46531,0.233558,1.55939,0.234675,1.24071,0.500561,1.57688,0.52336,1.36812,0.745079,1.34646,0
0.534383,1.49625,0.419452,1.13673,0.54403,1.41453,0.393176,1.61859,0.430328,1.38179,0.469847,1.5902,0.638274,1.64737,0.358507,1.46532,0.666018,1.65217,0.4188,1.42189,0
0.47402,1.5706,0.401508,1.34243,0.402471,1.53038,0.559683,1.3656,0.615279,1.82743,0.390023,1.65529,0.486861,1.54692,0.615956,1.79438,0.533658,1.4389,0.404246,1.49228,0
