#,Meta-feature,Type,Subtype,Origin,Description
1,ch,Clustering,clustering,PyMFE,Calinski and Harabasz index.
2,int,Clustering,clustering,PyMFE,INT index.
3,nre,Clustering,clustering,PyMFE,Normalized relative entropy.
4,pb,Clustering,clustering,PyMFE,Pearson correlation between class matching and instance distances.
5,sc,Clustering,clustering,PyMFE,Number of clusters with size smaller than a given size.
6,sil,Clustering,clustering,PyMFE,Mean silhouette value.
7,vdb,Clustering,clustering,PyMFE,Davies and Bouldin Index.
8,vdu,Clustering,clustering,PyMFE,Dunn Index.
9,c1,Concept & complexity,complexity,PyMFE,Entropy of class proportions.
10,c2,Concept & complexity,complexity,PyMFE,Imbalance ratio.
11,cls_coef,Concept & complexity,complexity,PyMFE,Clustering coefficient.
12,density,Concept & complexity,complexity,PyMFE,Average density of the network.
13,f1.mean,Concept & complexity,complexity,PyMFE,Maximum Fisher’s discriminant ratio.
14,f1v.mean,Concept & complexity,complexity,PyMFE,Directional-vector maximum Fisher’s discriminant ratio.
15,f2.mean,Concept & complexity,complexity,PyMFE,Volume of the overlapping region.
16,f3.mean,Concept & complexity,complexity,PyMFE,Compute feature maximum individual efficiency.
17,f4.mean,Concept & complexity,complexity,PyMFE,Collective feature efficiency.
18,hubs.mean,Concept & complexity,complexity,PyMFE,Hub score.
19,l1.mean,Concept & complexity,complexity,PyMFE,Sum of error distance by linear programming.
20,l2.mean,Concept & complexity,complexity,PyMFE,OVO subsets error rate of linear classifier.
21,l3.mean,Concept & complexity,complexity,PyMFE,Non-Linearity of a linear classifier.
22,lsc,Concept & complexity,complexity,PyMFE,Local set average cardinality.
23,n1,Concept & complexity,complexity,PyMFE,Fraction of borderline points.
24,n2.mean,Concept & complexity,complexity,PyMFE,Ratio of intra and extra class nearest neighbor distance.
25,n3.mean,Concept & complexity,complexity,PyMFE,Error rate of the nearest neighbor classifier.
26,n4.mean,Concept & complexity,complexity,PyMFE,Non-linearity of the k-NN Classifier.
27,t1.mean,Concept & complexity,complexity,PyMFE,Fraction of hyperspheres covering data.
28,t2,Concept & complexity,complexity,PyMFE,Average number of features per dimension.
29,t3,Concept & complexity,complexity,PyMFE,Average number of PCA dimensions per points.
30,t4,Concept & complexity,complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
31,cohesiveness.mean,Concept & complexity,concept,PyMFE,Improved version of the weighted distance. It captures how dense or sparse is the example distribution.
32,conceptvar.mean,Concept & complexity,concept,PyMFE,Concept variation that estimates the variability of class labels among examples.
33,impconceptvar.mean,Concept & complexity,concept,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
34,wg_dist.mean,Concept & complexity,concept,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
35,attr_to_inst,"Simple, stats & info-theory",general,PyMFE,Ratio between the number of attributes and instances.
36,cat_to_num,"Simple, stats & info-theory",general,PyMFE,Ratio between the number of categoric and numeric features.
37,freq_class.mean,"Simple, stats & info-theory",general,PyMFE,Relative frequency of each distinct class.
38,inst_to_attr,"Simple, stats & info-theory",general,PyMFE,Ratio between the number of instances and attributes.
39,nr_attr,"Simple, stats & info-theory",general,PyMFE,Total number of attributes.
40,nr_bin,"Simple, stats & info-theory",general,PyMFE,Number of binary attributes.
41,nr_cat,"Simple, stats & info-theory",general,PyMFE,Number of categorical attributes.
42,nr_class,"Simple, stats & info-theory",general,PyMFE,Number of distinct classes.
43,nr_inst,"Simple, stats & info-theory",general,PyMFE,Number of instances (rows) in the dataset.
44,nr_num,"Simple, stats & info-theory",general,PyMFE,Number of numeric features.
45,attr_conc.mean,"Simple, stats & info-theory",info-theory,PyMFE,Compute concentration coef. of each pair of distinct attributes.
46,attr_ent.mean,"Simple, stats & info-theory",info-theory,PyMFE,Compute Shannon’s entropy for each predictive attribute.
47,class_conc.mean,"Simple, stats & info-theory",info-theory,PyMFE,Compute concentration coefficient between each attribute and class.
48,class_ent,"Simple, stats & info-theory",info-theory,PyMFE,Compute target attribute Shannon’s entropy.
49,eq_num_attr,"Simple, stats & info-theory",info-theory,PyMFE,Number of attributes equivalent for a predictive task.
50,joint_ent.mean,"Simple, stats & info-theory",info-theory,PyMFE,Joint entropy between each attribute and class.
