,Bagging,GLVQ,GP,KNORAE,KNORAU,LCA,MCB,MLP,OLA,Percep,SVM_RBF,SVM_lin
attr_conc.mean,0.010124464060870938,0.008681695636268827,0.014533467742253699,0.013014028482699598,0.008233785609514075,0.0211906879979354,0.015374847574825006,0.01945176280083122,0.015558937042241526,0.012270955013246425,0.014427491498925088,0.017136550842468772
attr_ent.mean,0.009722566643162456,0.005394620751884662,0.012081181639412839,0.009687825711653188,0.012365271434277052,0.014254550244457015,0.014136464913086132,0.008406114760778157,0.009652578309798026,0.011202921786602846,0.006097736764700813,0.0071539884239523845
attr_to_inst,0.0030964130709761556,0.002634798331954266,0.002444738225823515,0.003710345244874756,0.0037227553335854235,0.003947298928930194,0.004095156402878731,0.0029429980616913344,0.0035378850926165825,0.003640883457640268,0.0027480521314860984,0.0036324033060563805
best_node.mean,0.006386826464994944,0.009412269204816996,0.008285693480915029,0.006866888365595531,0.007840052755214707,0.006677234156060701,0.008320965474136131,0.005253287764046251,0.011183007420133142,0.006912662693265927,0.007714897299763138,0.015314311289481873
best_node.mean.relative,0.00775229076490296,0.00299931163915092,0.008209447914629494,0.013272564020016378,0.013153951374360219,0.009617052041250644,0.011309148866445566,0.013018270015479262,0.009976809046510321,0.012172865932634072,0.016944147556172892,0.009839844138621755
c1,0.0029935786092267058,0.01791528349940912,0.01258588710261923,0.0024836571488294347,0.0027232937440896904,0.0029071499313424883,0.0025506466368884467,0.002775948153325025,0.002577895278787832,0.0030428665658573124,0.0056060929685069665,0.002615585123988652
c2,0.005138244017826581,0.023520359757558767,0.02298773917898316,0.003967168943384363,0.0044069672096342105,0.005019754344833921,0.0040514404354613336,0.006108039161182322,0.003363101777634201,0.004812021589513292,0.016237139366371327,0.005293540686000972
can_cor.mean,0.003347820974646593,0.002721600525852408,0.005990491886152696,0.0028622235818769434,0.00526250927983837,0.005845981966049005,0.002373143183620039,0.00548848640458035,0.003069556943437536,0.003287651070724979,0.010669964466857059,0.0045804077768983814
cat_to_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch,0.010247160931637361,0.012057205409890604,0.014946796812608977,0.012152890013724417,0.014507661217448816,0.016985976643522534,0.015070434796686634,0.033594160700863226,0.011099329975250288,0.011823719217621384,0.017466642692873565,0.01282937246174057
class_conc.mean,0.017746876166879585,0.005348193479757285,0.005648631926489803,0.008440132615807467,0.009325922435634444,0.013563014561592724,0.005534938422957858,0.01110976840878325,0.01227449178674675,0.008762194696016077,0.009741244347511314,0.009667745107257231
class_ent,0.002830408886179587,0.018345771856790833,0.009858401818612677,0.002418167400821207,0.002739861313692055,0.0028770226895773452,0.002675994029875898,0.002757054648741216,0.0021960587591787497,0.0029672841051769793,0.006139003438160178,0.003133550893005759
cls_coef,0.007759434511786729,0.0022395403583470065,0.0067727223508934654,0.006400390514375105,0.005990801560832787,0.005066595769259994,0.01036323776730749,0.008672896539172126,0.01803352284820366,0.005006874651994034,0.010661558037024394,0.006387226932324994
cohesiveness.mean,0.008130496792151347,0.003947403607845191,0.007528045277838734,0.008232841353639596,0.014944327399499123,0.007706446237220147,0.013138080959892365,0.007161187924594184,0.008574186197735569,0.009136671476318504,0.004435740501485089,0.007021544046794096
conceptvar.mean,0.003957245312988661,0.029415793460669224,0.02672124905549398,0.003807363483925787,0.0030648739161314616,0.004417430021951246,0.004618063290666827,0.00431956595538654,0.003416214763881426,0.004972029590282274,0.014736280415271509,0.005926004552883701
cor.mean,0.010709031875758916,0.009981170011162565,0.006927002218857154,0.011311498725005035,0.008280007082231533,0.009995738442294526,0.01078789952966401,0.005924634927244548,0.009991868230922164,0.012259006630224846,0.007699173767416611,0.011411286778591549
cov.mean,0.00845921294437765,0.005692701709909132,0.00672655632315736,0.01914847661104388,0.01610459632727569,0.010891704407492589,0.011840710719624517,0.009781767558988104,0.0070695107560013355,0.014398794787249761,0.007321020846222919,0.01329447634811647
density,0.004413750860589636,0.005997291176044323,0.004803220130484355,0.006337448630427693,0.00652916562442141,0.004782371977503939,0.0052292519836156775,0.007755564578717129,0.006812895231803181,0.004431764737370581,0.004701358755625398,0.0048196522068605025
eigenvalues.mean,0.0036852233931913645,0.0019474297820151927,0.004425209771706469,0.017401448271125605,0.004981030914844661,0.005420327331915952,0.0106903509389652,0.016067161836728305,0.009960815291615344,0.004486247731321629,0.01720605855257988,0.006801256339253394
elite_nn.mean,0.008135648398075984,0.004772478338122774,0.0075080986629216745,0.010512929922811503,0.014011851659916589,0.011475145431130082,0.009115810269100378,0.0055172959092228795,0.01150655108716299,0.012347376713755513,0.008909000430052435,0.0077762337376996475
elite_nn.mean.relative,0.01081121098694617,0.005447596665174523,0.007154455147810215,0.004768655987869807,0.005932387114492238,0.005444451896832734,0.005718689628179102,0.004542985275660495,0.006322848294336447,0.005530979911694514,0.003753235889786222,0.007361950436924202
eq_num_attr,0.007713227182398589,0.002876767108354182,0.004218339221055565,0.010422358046072127,0.007126757915985822,0.008232533797658596,0.007322461375857691,0.0074278075867910895,0.007398891753319963,0.008408023444958872,0.005507858256792327,0.009611975945841822
f1.mean,0.010843604028464933,0.006681247815599984,0.01684662491280276,0.007746063317103654,0.011592395505013453,0.014992491065166593,0.005554302636821293,0.008789276293038745,0.009540228463739218,0.0101378587920959,0.008226178961616457,0.007415663382461692
f1v.mean,0.009226185648586422,0.002614498764518025,0.0054910321480553526,0.007395552294748292,0.016555507704222462,0.008639866992815689,0.008996092774909628,0.01183870323988638,0.012493074670206415,0.00818824195160295,0.003272514790720656,0.014586605504822527
f2.mean,0.012111664052434816,0.008118912942986214,0.010630409062473188,0.010613989203412035,0.0064221216204201955,0.008993002509544384,0.007715737577662835,0.006989571202435119,0.009201831767224314,0.010433845431844441,0.005274303978201666,0.006479330489357168
f3.mean,0.008681016220784408,0.006069785072860263,0.008322287928360652,0.006408906721773484,0.007689517721755781,0.008286978289634228,0.01566688428554385,0.007923069344798568,0.013240561840404244,0.009398930095946638,0.004945992590304164,0.00382428946794173
f4.mean,0.0056786168463472154,0.005637970198299341,0.005829776060437911,0.008048673108004563,0.005949539444726158,0.004884080324532897,0.009886019805869787,0.0038599468886836717,0.006933753478083702,0.006443413196869235,0.007547452117490498,0.0033525288530282006
freq_class.mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g_mean.mean,0.006601657535060252,0.031119213837417697,0.005365534614437744,0.004717757454121258,0.012929917174098691,0.004932695791202199,0.005355225846011902,0.004133335019052951,0.01013046010115468,0.008150668682398558,0.0033621625217007136,0.007185090829602864
gravity,0.009623884242961225,0.006801208452514169,0.003300399972924673,0.006354811069796815,0.006332057154312654,0.005686942911704441,0.004599905615170844,0.009906159160113148,0.0074679190425783575,0.006065141905056543,0.003856493374693805,0.004659244483714719
h_mean.mean,0.0072391557582772315,0.016540592681134805,0.010588204394601087,0.007555301186010406,0.010836278211573378,0.005820541193668118,0.009014440589837903,0.006971657810336535,0.007396767525205465,0.015573326565750415,0.005383912936493158,0.008800860607435478
hubs.mean,0.007039062301308195,0.005174059128163207,0.00846326961960945,0.008642851362253815,0.007085633799579097,0.008935944166028099,0.011502750098215045,0.0054765130981756375,0.008755640938720333,0.007245956066052432,0.004642546829589556,0.0075500369152348085
impconceptvar.mean,0.005349143604851258,0.01271066718959187,0.010035548701711736,0.006662373471166316,0.006117294149406973,0.006443653577978393,0.004916860707993923,0.007576364437313165,0.004172561340705731,0.006504946429967203,0.019733609705811738,0.007008466057098318
inst_to_attr,0.003643992012154234,0.0032327596528991896,0.002305657732304477,0.0038852234954566208,0.004129938573194666,0.004802064633419409,0.004692226524225738,0.003508124050370707,0.003983798903918391,0.004563258989211726,0.0035109771930632856,0.004773820603788887
int,0.008633828113303073,0.007318735514147085,0.004721513903382957,0.01243308343053758,0.012704672848346515,0.009183220784898232,0.007875841076849703,0.00588097165720962,0.007201432206350451,0.01023857963842553,0.00598768492871098,0.0075111702703637455
iq_range.mean,0.005909536974128379,0.0057142853287467845,0.008610256675298859,0.016770486500972622,0.005774960440964683,0.007804677441230022,0.00991835149322591,0.016447927408474994,0.014565813483141413,0.005999793854956978,0.017444268899597867,0.010778384294761656
joint_ent.mean,0.00516378922523255,0.010144765555109,0.026030827902105654,0.006944332443692695,0.005640121696849496,0.007357679610875474,0.007923267616800574,0.007233568282108121,0.005350630204552642,0.006284690800460222,0.010147646736370017,0.00816199387562862
kurtosis.mean,0.011835589911407427,0.011520128048928076,0.013362807731738363,0.016102961937663172,0.011614693395140527,0.018496473092900808,0.010187666351679602,0.010789663742194332,0.014062768063941604,0.01903934740401249,0.008127820968523786,0.011257837607891346
l1.mean,0.004656457879712661,0.009672952541619678,0.004316011584107856,0.007285120145707769,0.004454396081589409,0.005066444707898544,0.006456682840073172,0.0076229161897615715,0.006985529013517074,0.007015654661641868,0.010188794102924508,0.005763438563053372
l2.mean,0.003354547731734007,0.01251763594256072,0.003300619243582338,0.0041204719873740026,0.0037237153037937547,0.0036929533814549892,0.004789615140818071,0.002252685845294006,0.006907231428569085,0.004288004110172956,0.005165103394906233,0.005509417697470642
l3.mean,0.004582562520192869,0.002761576036605473,0.0034892308860830687,0.006414666403776011,0.005951136928418492,0.0054098156252686295,0.005366793112220539,0.004073311529236315,0.006443747240085485,0.0055282817051934404,0.00528800392741296,0.004364179652061164
leaves,0.002370464122990648,0.002080349099536176,0.0026965618608575997,0.0028970229300662154,0.00280200361039599,0.0030261703532860787,0.003359834391204087,0.0017350960985717896,0.0030700547937785936,0.0029038492093197985,0.0024233866379063137,0.0018105248777849092
leaves_branch.mean,0.008151045927129315,0.002650848711602101,0.0023551778274979473,0.004731169505589766,0.004662944598953032,0.00590096093684336,0.004387245712988172,0.00469570049299336,0.006044362748031745,0.0046350251966830736,0.003648793054993178,0.0035757496528123086
leaves_corrob.mean,0.0035723986304000126,0.003064702667333046,0.004665374062351899,0.004558336002935446,0.004534382160472858,0.0040440780922021795,0.0050705414517683185,0.0025936027987664406,0.004813513371782735,0.004897489114865555,0.0038812002034998906,0.003317387759243481
leaves_homo.mean,0.00664879329650034,0.004417047350687708,0.0028145516493799446,0.006868486690769906,0.004071577516969365,0.010081981933858676,0.006401214370919531,0.0036782599449901475,0.007321055128866097,0.008787770499790086,0.003967472037697382,0.005392730666987011
leaves_per_class.mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lh_trace,0.0032308459973894505,0.003372940035771868,0.006343767609629369,0.00270974108950547,0.004585490721500917,0.004780365544130838,0.002746581124744556,0.005125127576281478,0.002955658356294287,0.003256506964693229,0.00879166959089454,0.00404597195146871
linear_discr.mean,0.004866810411763305,0.011639632062948711,0.004359972070978606,0.0054255549966568065,0.004308080250521186,0.005355346890880786,0.0074820077468792925,0.002962473329579038,0.005895916391469094,0.004988205849900764,0.007911150359724355,0.005495962078350663
linear_discr.mean.relative,0.0069271160358495825,0.004859274366978586,0.00945006352946873,0.008319528212187217,0.005989225517548867,0.005902428526071963,0.006793522212246934,0.008623979081137533,0.006812711880474723,0.00782972379622773,0.00711531544691993,0.0060788290417792675
lsc,0.005095764514612282,0.014118122359759627,0.0050785831135844095,0.006177732238604801,0.0051535107824431685,0.005341644064054835,0.009351936071628538,0.004730414895565775,0.005697353056158375,0.00580221951376877,0.0080004510295222,0.006155324324321756
mad.mean,0.007597054583295355,0.00974297902814453,0.008847853273706482,0.027928356407972157,0.007578304865763341,0.012292446631494217,0.017311447812303087,0.021474253953155244,0.014165084727156625,0.009754476723098343,0.019157024109161997,0.008722293451686857
max.mean,0.0074275004424022096,0.007486454470536638,0.007927293835960404,0.009279627516948724,0.021650966150973918,0.008314559759289937,0.008991119535736723,0.00723022030444744,0.009560167721843675,0.006648835408118936,0.005202587279963643,0.0063360632921662914
mean.mean,0.006415700576910384,0.00494171772117651,0.004710955010293214,0.005023168702888055,0.01039998162069682,0.0038988128037211463,0.0052324726579643524,0.0046594038896078,0.010130519111935733,0.00452515927482266,0.007159344920169465,0.010107181628430831
median.mean,0.00918152342251539,0.004401587996958464,0.01436224204587547,0.01006443303051833,0.02574472996924613,0.006366068462310738,0.017157075565300335,0.006181586659641492,0.010967727260870162,0.008384983483526471,0.00701454138396399,0.007539947209362407
min.mean,0.009291951977976118,0.0370758173257802,0.010132410880803728,0.007298642614011531,0.013875828405560876,0.006466364658859173,0.0073902192900754185,0.005471337008934614,0.010054522207340315,0.01096738997774,0.004313027940214093,0.005838391994020502
mut_inf.mean,0.009903889913464055,0.006352852696716978,0.006328615076940466,0.007804147853812552,0.008013990203170328,0.012477684402261453,0.005083793047210749,0.017007550554949055,0.008143864299355335,0.007978984981971781,0.016198358781181782,0.010036445675058046
n1,0.005582584932339693,0.003917063652080796,0.006193451352433992,0.005325750381307015,0.0047706614726604445,0.006880389259105309,0.005769487132779134,0.007100661217217601,0.007203793013688313,0.006019088506443007,0.004809986579102517,0.008195166533674136
n2.mean,0.0074168475668541355,0.004157546177086677,0.0066486820516501255,0.016698709625258726,0.008272021771533052,0.008079544887981648,0.01502300190660389,0.015546155464246106,0.008679225578729535,0.00884368387542535,0.006145306972410348,0.007353130206616907
n3.mean,0.00782371446780159,0.014293322905591321,0.004194008181128837,0.008678184225696741,0.006708656171926701,0.007984514534128255,0.007275230917580793,0.006594696347166167,0.00789356569896704,0.008280889900443025,0.003896724383126984,0.008786499487831294
n4.mean,0.008470349373938629,0.013299106081438366,0.008436651766875292,0.012368846288627916,0.007060927656447532,0.007960874675726742,0.009015188617505455,0.0070705301391014224,0.006567899064003851,0.007546332586226477,0.006622832939177038,0.011040269098824282
naive_bayes.mean,0.008423638602952957,0.0067292326785580855,0.01994186276176281,0.006349629581214014,0.00794217482800718,0.009716119353365651,0.011171607336528187,0.010206212385390658,0.009565690297761146,0.008865255266552957,0.015328506880897137,0.009049192472541483
naive_bayes.mean.relative,0.005844138566963162,0.002134234619616421,0.0038146503730786983,0.006770939128796537,0.008408496355244464,0.005240640161302837,0.008573939473999367,0.00378225745249246,0.008650998657418538,0.005768682863902605,0.005559565813237189,0.005793325283937483
nodes,0.0024459478533029122,0.0015547785607926573,0.0025003681670131284,0.0029247048749065784,0.0027608270277286358,0.0028442619900157402,0.003527917421930103,0.001688840174613874,0.0025886697777733484,0.003035763977869439,0.0024425233440630496,0.0018953245382052578
nodes_per_attr,0.004339886696419554,0.010059485178563737,0.002055192827167163,0.004886027048287104,0.004161414407801762,0.007577131575264895,0.004069665457747141,0.003164735635752373,0.004708971447182758,0.0056889301735288415,0.005155996720721479,0.004204529825340492
nodes_per_inst,0.004888651898509745,0.004649138768353216,0.013137231202025553,0.009128674534047738,0.00638368984078921,0.00973407617009913,0.008579871215655135,0.0037326671499925248,0.0076173881398389695,0.010193183861184308,0.006349683838818879,0.006585915858026992
nodes_per_level.mean,0.009451722113964979,0.0063310851045830325,0.009248704752411623,0.014670216365665168,0.00926955097262396,0.015125528594840662,0.008418825593106255,0.007962994676758926,0.013542982303834373,0.011898861594905772,0.012816838744055991,0.009759777965841406
nodes_repeated.mean,0.007698711021107626,0.012992653476128374,0.0036966822662544883,0.009677123861331011,0.007483011627550604,0.008426403494155797,0.008064772406262678,0.006565464088817194,0.010389252649815632,0.011297431727551368,0.004214328286367131,0.007402274243294393
nr_attr,0.0001881196627443511,9.12026438288134e-05,0.00011913793719701804,0.00013498177170219312,0.0001450780308107849,0.00012275341473369232,0.00011688497600102123,7.399774363480264e-05,0.00013613382615785305,0.00012009283493921876,0.00013492343380230097,0.0001356970483041938
nr_bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr_class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr_cor_attr,0.005522231603864264,0.011899543861170188,0.003443046562597521,0.00420290107899375,0.005243407051430426,0.008258407674067386,0.00718295591983607,0.004985204201760837,0.0033139441430126504,0.006141883198543252,0.0032106362692195045,0.004128371473796387
nr_disc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr_inst,0.01051480887592001,0.004630341569596741,0.00896236784595174,0.00883717994493912,0.006859795434097328,0.008885799395922302,0.012464997781133608,0.005159777198590583,0.009477670746889323,0.006356159872252008,0.003944345197740282,0.007177575377870191
nr_norm,0.004969343476554389,0.002058842708469389,0.005557472609275876,0.005984288221005563,0.0035022947137255387,0.0051160198131607855,0.003948715770381594,0.012917172026156254,0.004090738405249451,0.006757029199662569,0.0042150404110916076,0.0063473261312946274
nr_num,0.0001488619859971542,5.757944371058971e-05,0.0001688063580133872,0.00014384288632622502,0.0001239833977825838,0.00011312618252542328,0.00010464972758426875,6.344359957335658e-05,9.845179014041142e-05,0.0001531766106803526,0.000122924965739415,9.001917606525826e-05
nr_outliers,0.008056200191350605,0.009296144554734136,0.00722762044350274,0.0053205960513628405,0.006649327707748628,0.005487474158921087,0.005388838454549143,0.003937068687950004,0.004568492718637094,0.007757964761587356,0.002628160766619939,0.007951392207841997
nre,0.0030231854679558788,0.01226720437036855,0.011097087692526913,0.0026791030971516027,0.002772898868488299,0.0028464215505940105,0.002751178245620474,0.002497722062660677,0.002404368580207958,0.002945621440570425,0.004865275347417163,0.0028301291469765297
ns_ratio,0.010522366481415203,0.0031933797992513046,0.005110901745498159,0.007165960972916918,0.006005185767866888,0.009142820557846904,0.005346667741917333,0.009507557459191289,0.007422970346044932,0.006824164819453857,0.007225464418133295,0.008094714865240158
one_itemset.mean,0.0014865899996143472,0.0009290723388015454,0.0012462231101522951,0.0013758518061489854,0.0013094167315899864,0.0013957950598061596,0.001731709552276084,0.0012988696311128924,0.0014224119580754067,0.0015112719706497288,0.0008997993061691368,0.0007337079626260304
one_nn.mean,0.008627948858330254,0.009502588464269318,0.0048889485866525995,0.011600203653566938,0.00944900585934042,0.009436331751552552,0.008057818628599715,0.005322449473891009,0.00822858854475643,0.008262359600557923,0.005559850231331553,0.008929381063693951
one_nn.mean.relative,0.007795000431169008,0.0029891309850920834,0.004176224797842417,0.005736883212148388,0.008644788663091945,0.0063424845495326215,0.007982719178488695,0.004129272834183908,0.005348237054955622,0.006266804422159278,0.008395983321970484,0.003974371971499352
p_trace,0.003126828140312122,0.0025655558377450944,0.006509135747732009,0.002797373537632244,0.00557341779061342,0.005364926699465354,0.002636088004313816,0.005031667549478474,0.0030890095923622003,0.0035123723133586443,0.009692912795838178,0.004063480119749904
pb,0.023419713567862637,0.014261559158058018,0.012613517746068241,0.013447343635214975,0.01349824759640363,0.01770690296735655,0.01029141993667991,0.02437947813304928,0.010631128762412055,0.012602006907437121,0.01145043318300285,0.010593212981579983
random_node.mean,0.007762644100199593,0.026740490806041097,0.029279331001052213,0.007307870942481751,0.006806805876226888,0.006968240751785378,0.007750897280232426,0.005495847146375133,0.004320756097839003,0.008006020609842677,0.014265715669906772,0.007595317877672333
random_node.mean.relative,0.005706046269640191,0.0025928212446305683,0.005556919170278447,0.006215172669957073,0.006061057497288956,0.010619542082475175,0.008369843680628274,0.006842850789328445,0.005207749403924439,0.01036883184919772,0.012983222273156144,0.008972935742908647
range.mean,0.00756557885774706,0.0025815715323405427,0.006205990641765925,0.0069781695984642705,0.006937711249412974,0.0073370736552419834,0.014431757593074022,0.0054027622533445434,0.009712984980259637,0.008424779982486863,0.0034169577755187447,0.012827831124894495
roy_root,0.003258926300184194,0.002375789063241361,0.005468713583192984,0.0027077418650780847,0.004082823970714391,0.00464187396663426,0.00259722067541209,0.004365664218218089,0.0027866100428525775,0.003301183883964282,0.008745271915993037,0.0036364181242653304
sc,0.00025769312612385976,7.666402980059793e-19,8.804221533829033e-05,0.0002697726066266416,0.00018381072457260557,0.00012575475856119148,0.00023083240631656458,7.124910716465705e-05,0.0003062612620485443,0.00019107807641405433,4.644447751152569e-05,0.0002145898510683177
sd.mean,0.005706880204832319,0.002927432188895532,0.009147656838742422,0.01948775257003185,0.008162538091667927,0.011180587760094193,0.010868275659033685,0.017621783928523246,0.00800172750984668,0.0058374086965778385,0.01953868124324466,0.010046107845778694
sd_ratio,0.01321695702670442,0.005487310381030286,0.014243677717324776,0.013510574646624338,0.016178196251355484,0.014691626707020096,0.014039715790261672,0.017490455230391434,0.015285150012130847,0.01695770342489631,0.008553922836218602,0.008681549891931803
sil,0.008305273343162903,0.006309105239243363,0.005946716540462636,0.009971335453924472,0.007539676163309475,0.008526751282855558,0.008243870895147089,0.010352761632899877,0.006168458597718929,0.00955411970267616,0.005907871213122587,0.009817954526564069
skewness.mean,0.015187001298267349,0.007312660603495176,0.010314278187056363,0.014108341831940012,0.013420881253544988,0.013285774745357904,0.01309807213439326,0.021247485748930123,0.013765318897179739,0.019080459786097737,0.006877161279954012,0.0148691263990487
sparsity.mean,0.011857819630203827,0.009120174868801524,0.025345233623404545,0.009254475943005349,0.012027033747808169,0.009862231478660608,0.018541103770322323,0.014754275006178113,0.02489602043801901,0.010990071721523527,0.042683456058378075,0.012509454148111766
t1.mean,0.017381100735579365,0.020730076659238036,0.006559378852745626,0.01541985347997802,0.022792485412113695,0.016979488408768263,0.012883336637093307,0.018331403430355296,0.023282209139437373,0.021624113757808885,0.007924070970205779,0.014051732232642467
t2,0.003129400730379145,0.002381111798875453,0.0021523022769930583,0.0033773236775687856,0.0035531791329286543,0.004280366676489802,0.004070088293653684,0.0030851842409707615,0.0034703297502786555,0.0038596879583425066,0.002448713734565454,0.003616457951197524
t3,0.0068075899093374805,0.005834205613053294,0.003921566364130837,0.007160055863633962,0.006295204961080181,0.006880103152959798,0.007394244178710755,0.0055209535957852504,0.005072514005874386,0.00519140534098301,0.00856059273573747,0.00617000812993315
t4,0.0009791037010966651,0.0003848480235976409,0.0006276347323593471,0.0007415540344196687,0.0010485609687472745,0.0009110662105359783,0.0008887712336075769,0.0005264170816845013,0.00052303719563177,0.0008683007380725212,0.0006529559874013034,0.0007341000885859277
t_mean.mean,0.005939122041422468,0.0026580854890164997,0.0058445733159852966,0.004366474988148804,0.012180404261453065,0.004255676351916277,0.008264114350473186,0.006555409458467097,0.009967325282113693,0.005418679133741875,0.00456010095147247,0.0055046461206069534
tree_depth.mean,0.007533394072332338,0.0030363394292979716,0.0021768563330197242,0.005013449221098622,0.0048330462920606115,0.005915176137376685,0.0048914837003505955,0.004644270614798953,0.005311023397990948,0.005183827615336797,0.0032959225849163755,0.0034583436870722324
tree_imbalance.mean,0.016435413320055034,0.005160744792308604,0.00579980565726511,0.01490130953897293,0.009053433440429538,0.014812612004111804,0.012873667836744863,0.009386085539131355,0.007964020149194511,0.01228943686666607,0.006983581332998353,0.011737922473383995
tree_shape.mean,0.012430150053923757,0.016790778832609883,0.004538624360473031,0.00770469536146428,0.009648768148794038,0.0079512969911733,0.00801084494217441,0.00512838346587262,0.008095211773984552,0.0088891945534861,0.004701451789497984,0.007447295399454014
two_itemset.mean,0.001337225622709423,0.0010438773123141688,0.0012023938145972583,0.001397991559148505,0.0012824945846801826,0.0016795391465348596,0.0017275353704792817,0.0013960961113437613,0.0013305323193239433,0.0014403216316729458,0.0009170913133213849,0.0009014245901972661
var.mean,0.004008751274154865,0.0031292633797908244,0.00562828572595189,0.01751958682239444,0.004843987848372662,0.0061350076098932805,0.010473707782333247,0.01614236833992963,0.008733049188915801,0.004638575158761669,0.01681942154696688,0.006808236960082347
var_importance.mean,0.000202496852615693,0.0006367752116398376,0.00016573082269188337,0.00014674137638739245,0.000171631976880828,0.00012769639333258225,0.00012375761416041968,0.00010973000195827032,0.00012663940463977067,0.0001266641373317636,0.00016233540304469538,0.00014821443634408464
vdb,0.00790566381932468,0.00403114139544381,0.004808728267225766,0.009163948998458498,0.01637809980410172,0.007939299299653474,0.008600721398910634,0.009320256425535871,0.007879254952376409,0.007873073583820361,0.0031167965382188157,0.007828302360932952
vdu,0.006573272878910801,0.00688521079301756,0.0036855550192381524,0.009522346949336619,0.006935970487207562,0.01020198891169264,0.005469984144489436,0.00531055409999394,0.005916408944020823,0.007577515053040663,0.004143355599402753,0.005695218851113604
w_lambda,0.005840168897989641,0.006545971615028306,0.025396494894632034,0.004374116922550594,0.009659223106119556,0.010572910803701272,0.004010826730228199,0.011465703382592254,0.004523676332023901,0.005791001511382377,0.025448233258133512,0.008332401919314779
wg_dist.mean,0.013080966825091073,0.0141975550482259,0.01001277326185124,0.011634315437144544,0.011361786421563682,0.012297250371545904,0.009120796784508707,0.010127588721613418,0.010059093382928557,0.014821264037440673,0.006412316049066754,0.009893444196525566
worst_node.mean,0.0069269344762454286,0.07521600117416329,0.02814225709315524,0.005659531919582206,0.005982815692165269,0.005214340721555142,0.00736914609864949,0.004086828957311676,0.008769233045357072,0.006568412123373464,0.008466495179519577,0.013084155200550354
worst_node.mean.relative,0.0042602955172741565,0.002580759500796025,0.004823658078492978,0.0069982635441218745,0.0038954739720519697,0.006203830318342083,0.006589494636698039,0.009072402216261943,0.0063440521473585795,0.007397908314176552,0.011461483052551194,0.011617096054383064
overlapping.F2_partial.0,0.010114079535696464,0.010636369499638379,0.010011813687879343,0.009645204310453109,0.009140108398881288,0.012094219861615806,0.009357594353529518,0.0077451968718755485,0.009583462514171946,0.016576299245668526,0.009135238832965967,0.014189905297221618
