,Meta-scaler,Jain et al.,Zagatti et al.,Truth
Bagging,0.717,0.7129,0.6638,0.7311
GLVQ,0.6576,0.625,0.5954,0.6642
GP,0.7522,0.7055,0.712,0.7671
KNORAE,0.7434,0.7224,0.7133,0.7593
KNORAU,0.7382,0.7183,0.6948,0.7486
LCA,0.6788,0.6766,0.6095,0.7207
MCB,0.7431,0.7189,0.7129,0.76
MLP,0.7008,0.6876,0.579,0.7358
OLA,0.7437,0.719,0.7131,0.7597
Percep,0.6702,0.6789,0.5986,0.7249
SVM_RBF,0.7399,0.7261,0.6541,0.7483
SVM_lin,0.7071,0.7023,0.5585,0.7143
Median,0.7276,0.7092,0.659,0.7421
Mean,0.716,0.6995,0.6504,0.7362
Stddev,0.0328,0.0289,0.0593,0.0286
Mean rank,1.0833,2.0,2.9167,
p-values,N/A,3.4e-03,4.9e-04,N/A
