,RF,ET,XGB,BAG,KNE,KNU,MTD,DMI
Bagging,0.7165,0.7160,0.7170,0.7095,0.7132,0.7185,0.7172,0.7170
GLVQ,0.6577,0.6573,0.6578,0.6368,0.6559,0.6567,0.6579,0.6576
GP,0.7569,0.7552,0.7515,0.7446,0.7524,0.7548,0.7537,0.7522
KNORAE,0.7441,0.7437,0.7435,0.7386,0.7414,0.7436,0.7434,0.7434
KNORAU,0.7353,0.7349,0.7352,0.7267,0.7297,0.7375,0.7368,0.7382
LCA,0.6803,0.6767,0.6782,0.6829,0.6774,0.6835,0.6829,0.6788
MCB,0.7427,0.7428,0.7424,0.7387,0.7380,0.7431,0.7419,0.7431
MLP,0.7057,0.7086,0.7071,0.6831,0.6941,0.7023,0.7067,0.7008
OLA,0.7454,0.7449,0.7448,0.7372,0.7395,0.7441,0.7441,0.7437
Percep,0.6721,0.6711,0.6720,0.6624,0.6687,0.6729,0.6704,0.6702
SVM_RBF,0.7416,0.7409,0.7374,0.7072,0.7333,0.7400,0.7397,0.7399
SVM_lin,0.7068,0.7074,0.7073,0.7056,0.7058,0.7064,0.7066,0.7071
Median,0.7259,0.7255,0.7261,0.7084,0.7214,0.7280,0.7270,0.7276
Mean,0.7171,0.7166,0.7162,0.7061,0.7125,0.7170,0.7168,0.7160
Std-dev,0.0328,0.0330,0.0320,0.0341,0.0320,0.0324,0.0321,0.0328
Mean rank,2.8333,3.5000,4.0000,7.5000,6.9167,3.0833,3.9167,4.2500
