Meta-feature,Importance,Ranking,Type,Origin,Description
L1_partial.0,0.069,1.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
pb,0.023,2.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
class_conc.mean,0.018,3.000,"Simple, stats & info-theory",PyMFE,Compute concentration coefficient between each attribute and class.
t1.mean,0.017,4.000,Concept & complexity,PyMFE,Fraction of hyperspheres covering data.
tree_imbalance.mean,0.016,5.000,Model-based,PyMFE,Tree imbalance for each leaf node.
skewness.mean,0.015,6.000,"Simple, stats & info-theory",PyMFE,Skewness for each attribute.
L1_partial.1,0.014,7.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 1).
N2_partial.0,0.014,8.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
sd_ratio,0.013,9.000,"Simple, stats & info-theory",PyMFE,Statistical test for homogeneity of covariances.
wg_dist.mean,0.013,10.000,Concept & complexity,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
T1_partial.0,0.013,11.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
tree_shape.mean,0.012,12.000,Model-based,PyMFE,Tree shape for every leaf node.
N4_partial.0,0.012,13.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
N3_partial.0,0.012,14.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
f2.mean,0.012,15.000,Concept & complexity,PyMFE,Volume of the overlapping region.
sparsity.mean,0.012,16.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
kurtosis.mean,0.012,17.000,"Simple, stats & info-theory",PyMFE,Kurtosis of each attribute.
F2_partial.1,0.012,18.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
L2_partial.1,0.011,19.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 1).
f1.mean,0.011,20.000,Concept & complexity,PyMFE,Maximum Fisher’s discriminant ratio.
elite_nn.mean.relative,0.011,21.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
cor.mean,0.011,22.000,"Simple, stats & info-theory",PyMFE,Absolute value of the correlation of distinct dataset column pairs.
ns_ratio,0.011,23.000,"Simple, stats & info-theory",PyMFE,Noisiness of attributes.
nr_inst,0.011,24.000,"Simple, stats & info-theory",PyMFE,Number of instances (rows) in the dataset.
ch,0.010,25.000,Clustering,PyMFE,Calinski and Harabasz index.
attr_conc.mean,0.010,26.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
F2_partial.0,0.010,27.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
L3_partial.0,0.010,28.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 0).
mut_inf.mean,0.010,29.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
L3_partial.1,0.010,30.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 1).
attr_ent.mean,0.010,31.000,"Simple, stats & info-theory",PyMFE,Compute Shannon’s entropy for each predictive attribute.
gravity,0.010,32.000,"Simple, stats & info-theory",PyMFE,Distance between minority and majority classes center of mass.
nodes_per_level.mean,0.009,33.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
N3_partial.1,0.009,34.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
min.mean,0.009,35.000,"Simple, stats & info-theory",PyMFE,Minimum value from each attribute.
f1v.mean,0.009,36.000,Concept & complexity,PyMFE,Directional-vector maximum Fisher’s discriminant ratio.
median.mean,0.009,37.000,"Simple, stats & info-theory",PyMFE,Median value from each attribute.
N1_partial.0,0.009,38.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
f3.mean,0.009,39.000,Concept & complexity,PyMFE,Compute feature maximum individual efficiency.
int,0.009,40.000,Clustering,PyMFE,INT index.
one_nn.mean,0.009,41.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
N4_partial.1,0.009,42.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
n4.mean,0.008,43.000,Concept & complexity,PyMFE,Non-linearity of the k-NN Classifier.
cov.mean,0.008,44.000,"Simple, stats & info-theory",PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
naive_bayes.mean,0.008,45.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
sil,0.008,46.000,Clustering,PyMFE,Mean silhouette value.
L2_partial.0,0.008,47.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 0).
F4_partial.0,0.008,48.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 0).
leaves_branch.mean,0.008,49.000,Model-based,PyMFE,Size of branches in the DT model.
elite_nn.mean,0.008,50.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
cohesiveness.mean,0.008,51.000,Concept & complexity,PyMFE,Improved version of the weighted distance. It captures how dense or sparse is the example distribution.
nr_outliers,0.008,52.000,"Simple, stats & info-theory",PyMFE,Number of attributes with at least one outlier value.
vdb,0.008,53.000,Clustering,PyMFE,Davies and Bouldin Index.
N2_partial.1,0.008,54.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 1).
F3_partial.0,0.008,55.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 0).
n3.mean,0.008,56.000,Concept & complexity,PyMFE,Error rate of the nearest neighbor classifier.
one_nn.mean.relative,0.008,57.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
random_node.mean,0.008,58.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
cls_coef,0.008,59.000,Concept & complexity,PyMFE,Clustering coefficient.
best_node.mean.relative,0.008,60.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
eq_num_attr,0.008,61.000,"Simple, stats & info-theory",PyMFE,Number of attributes equivalent for a predictive task.
nodes_repeated.mean,0.008,62.000,Model-based,PyMFE,Number of repeated nodes in DT model.
mad.mean,0.008,63.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
range.mean,0.008,64.000,"Simple, stats & info-theory",PyMFE,Range (max - min) of each attribute.
tree_depth.mean,0.008,65.000,Model-based,PyMFE,Depth of every node in the DT model.
max.mean,0.007,66.000,"Simple, stats & info-theory",PyMFE,Maximum value from each attribute.
n2.mean,0.007,67.000,Concept & complexity,PyMFE,Ratio of intra and extra class nearest neighbor distance.
h_mean.mean,0.007,68.000,"Simple, stats & info-theory",PyMFE,Harmonic mean of each attribute.
hubs.mean,0.007,69.000,Concept & complexity,PyMFE,Hub score.
linear_discr.mean.relative,0.007,70.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
worst_node.mean,0.007,71.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
t3,0.007,72.000,Concept & complexity,PyMFE,Average number of PCA dimensions per points.
leaves_homo.mean,0.007,73.000,Model-based,PyMFE,DT model Homogeneity for every leaf node.
g_mean.mean,0.007,74.000,"Simple, stats & info-theory",PyMFE,Geometric mean of each attribute.
vdu,0.007,75.000,Clustering,PyMFE,Dunn Index.
mean.mean,0.006,76.000,"Simple, stats & info-theory",PyMFE,Mean value of each attribute.
best_node.mean,0.006,77.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
t_mean.mean,0.006,78.000,"Simple, stats & info-theory",PyMFE,Trimmed mean of each attribute.
iq_range.mean,0.006,79.000,"Simple, stats & info-theory",PyMFE,Interquartile range (IQR) of each attribute.
naive_bayes.mean.relative,0.006,80.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
w_lambda,0.006,81.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
sd.mean,0.006,82.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
random_node.mean.relative,0.006,83.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
f4.mean,0.006,84.000,Concept & complexity,PyMFE,Collective feature efficiency.
n1,0.006,85.000,Concept & complexity,PyMFE,Fraction of borderline points.
nr_cor_attr,0.006,86.000,"Simple, stats & info-theory",PyMFE,Number of distinct highly correlated pair of attributes.
N1_partial.1,0.005,87.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 1).
impconceptvar.mean,0.005,88.000,Concept & complexity,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
F4_partial.1,0.005,89.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 1).
joint_ent.mean,0.005,90.000,"Simple, stats & info-theory",PyMFE,Joint entropy between each attribute and class.
c2,0.005,91.000,Concept & complexity,PyMFE,Imbalance ratio.
lsc,0.005,92.000,Concept & complexity,PyMFE,Local set average cardinality.
nr_norm,0.005,93.000,"Simple, stats & info-theory",PyMFE,Number of attributes normally distributed based in a given method.
nodes_per_inst,0.005,94.000,Model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
linear_discr.mean,0.005,95.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
F3_partial.1,0.005,96.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 1).
T1_partial.1,0.005,97.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 1).
l1.mean,0.005,98.000,Concept & complexity,PyMFE,Sum of error distance by linear programming.
l3.mean,0.005,99.000,Concept & complexity,PyMFE,Non-Linearity of a linear classifier.
density,0.004,100.000,Concept & complexity,PyMFE,Average density of the network.
nodes_per_attr,0.004,101.000,Model-based,PyMFE,Ratio of nodes per number of attributes in DT model.
worst_node.mean.relative,0.004,102.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
var.mean,0.004,103.000,"Simple, stats & info-theory",PyMFE,Variance of each attribute.
conceptvar.mean,0.004,104.000,Concept & complexity,PyMFE,Concept variation that estimates the variability of class labels among examples.
eigenvalues.mean,0.004,105.000,"Simple, stats & info-theory",PyMFE,Eigenvalues of covariance matrix from dataset.
inst_to_attr,0.004,106.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of instances and attributes.
leaves_corrob.mean,0.004,107.000,Model-based,PyMFE,Leaves corroboration of the DT model.
l2.mean,0.003,108.000,Concept & complexity,PyMFE,OVO subsets error rate of linear classifier.
can_cor.mean,0.003,109.000,"Simple, stats & info-theory",PyMFE,Compute canonical correlations of data.
roy_root,0.003,110.000,"Simple, stats & info-theory",PyMFE,Roy’s largest root.
lh_trace,0.003,111.000,"Simple, stats & info-theory",PyMFE,Lawley-Hotelling trace.
t2,0.003,112.000,Concept & complexity,PyMFE,Average number of features per dimension.
p_trace,0.003,113.000,"Simple, stats & info-theory",PyMFE,Pillai’s trace.
attr_to_inst,0.003,114.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of attributes and instances.
nre,0.003,115.000,Clustering,PyMFE,Normalized relative entropy.
c1,0.003,116.000,Concept & complexity,PyMFE,Entropy of class proportions.
class_ent,0.003,117.000,"Simple, stats & info-theory",PyMFE,Compute target attribute Shannon’s entropy.
nodes,0.002,118.000,Model-based,PyMFE,Number of non-leaf nodes in DT model.
leaves,0.002,119.000,Model-based,PyMFE,Number of leaf nodes in the DT model.
one_itemset.mean,0.001,120.000,"Simple, stats & info-theory",PyMFE,One itemset meta-feature.
two_itemset.mean,0.001,121.000,"Simple, stats & info-theory",PyMFE,Two itemset meta-feature.
t4,0.001,122.000,Concept & complexity,PyMFE,Ratio of the PCA dimension to the original dimension.
sc,0.000,123.000,Clustering,PyMFE,Number of clusters with size smaller than a given size.
var_importance.mean,0.000,124.000,Model-based,PyMFE,Features importance of the DT model for each attribute.
nr_attr,0.000,125.000,"Simple, stats & info-theory",PyMFE,Total number of attributes.
nr_num,0.000,126.000,"Simple, stats & info-theory",PyMFE,Number of numeric features.
nr_bin,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of binary attributes.
nr_disc,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of canonical correlation between each attribute and class.
leaves_per_class.mean,0.000,130.000,Model-based,PyMFE,Proportion of leaves per class in DT model.
nr_class,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of distinct classes.
freq_class.mean,0.000,130.000,"Simple, stats & info-theory",PyMFE,Relative frequency of each distinct class.
cat_to_num,0.000,130.000,"Simple, stats & info-theory",PyMFE,Ratio between the number of categoric and numeric features.
nr_cat,0.000,130.000,"Simple, stats & info-theory",PyMFE,Number of categorical attributes.
