Meta-feature,Importance,Ranking,Type,Origin,Description
mad.mean,0.028,1.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
sd.mean,0.019,2.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
cov.mean,0.019,3.000,"Simple, stats & info-theory",PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
var.mean,0.018,4.000,"Simple, stats & info-theory",PyMFE,Variance of each attribute.
eigenvalues.mean,0.017,5.000,"Simple, stats & info-theory",PyMFE,Eigenvalues of covariance matrix from dataset.
iq_range.mean,0.017,6.000,"Simple, stats & info-theory",PyMFE,Interquartile range (IQR) of each attribute.
n2.mean,0.017,7.000,Concept & complexity,PyMFE,Ratio of intra and extra class nearest neighbor distance.
kurtosis.mean,0.016,8.000,"Simple, stats & info-theory",PyMFE,Kurtosis of each attribute.
t1.mean,0.015,9.000,Concept & complexity,PyMFE,Fraction of hyperspheres covering data.
tree_imbalance.mean,0.015,10.000,Model-based,PyMFE,Tree imbalance for each leaf node.
nodes_per_level.mean,0.015,11.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
skewness.mean,0.014,12.000,"Simple, stats & info-theory",PyMFE,Skewness for each attribute.
sd_ratio,0.014,13.000,"Simple, stats & info-theory",PyMFE,Statistical test for homogeneity of covariances.
pb,0.013,14.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
N3_partial.0,0.013,15.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
best_node.mean.relative,0.013,16.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
N4_partial.1,0.013,17.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
N2_partial.0,0.013,18.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
attr_conc.mean,0.013,19.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
int,0.012,20.000,Clustering,PyMFE,INT index.
n4.mean,0.012,21.000,Concept & complexity,PyMFE,Non-linearity of the k-NN Classifier.
ch,0.012,22.000,Clustering,PyMFE,Calinski and Harabasz index.
N3_partial.1,0.012,23.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
N4_partial.0,0.012,24.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
wg_dist.mean,0.012,25.000,Concept & complexity,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
one_nn.mean,0.012,26.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
cor.mean,0.011,27.000,"Simple, stats & info-theory",PyMFE,Absolute value of the correlation of distinct dataset column pairs.
f2.mean,0.011,28.000,Concept & complexity,PyMFE,Volume of the overlapping region.
F2_partial.1,0.011,29.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
elite_nn.mean,0.011,30.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
eq_num_attr,0.010,31.000,"Simple, stats & info-theory",PyMFE,Number of attributes equivalent for a predictive task.
median.mean,0.010,32.000,"Simple, stats & info-theory",PyMFE,Median value from each attribute.
sil,0.010,33.000,Clustering,PyMFE,Mean silhouette value.
attr_ent.mean,0.010,34.000,"Simple, stats & info-theory",PyMFE,Compute Shannon’s entropy for each predictive attribute.
nodes_repeated.mean,0.010,35.000,Model-based,PyMFE,Number of repeated nodes in DT model.
F2_partial.0,0.010,36.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
vdu,0.010,37.000,Clustering,PyMFE,Dunn Index.
max.mean,0.009,38.000,"Simple, stats & info-theory",PyMFE,Maximum value from each attribute.
sparsity.mean,0.009,39.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
vdb,0.009,40.000,Clustering,PyMFE,Davies and Bouldin Index.
nodes_per_inst,0.009,41.000,Model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
F3_partial.1,0.009,42.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 1).
nr_inst,0.009,43.000,"Simple, stats & info-theory",PyMFE,Number of instances (rows) in the dataset.
F4_partial.1,0.009,44.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 1).
n3.mean,0.009,45.000,Concept & complexity,PyMFE,Error rate of the nearest neighbor classifier.
hubs.mean,0.009,46.000,Concept & complexity,PyMFE,Hub score.
class_conc.mean,0.008,47.000,"Simple, stats & info-theory",PyMFE,Compute concentration coefficient between each attribute and class.
N1_partial.0,0.008,48.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
N2_partial.1,0.008,49.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 1).
linear_discr.mean.relative,0.008,50.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
L1_partial.0,0.008,51.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
