Meta-feature,Importance,Ranking,Type,Origin,Description
median.mean,0.026,1.000,"Simple, stats & info-theory",PyMFE,Median value from each attribute.
t1.mean,0.023,2.000,Concept & complexity,PyMFE,Fraction of hyperspheres covering data.
max.mean,0.022,3.000,"Simple, stats & info-theory",PyMFE,Maximum value from each attribute.
L1_partial.0,0.018,4.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
f1v.mean,0.017,5.000,Concept & complexity,PyMFE,Directional-vector maximum Fisher’s discriminant ratio.
vdb,0.016,6.000,Clustering,PyMFE,Davies and Bouldin Index.
sd_ratio,0.016,7.000,"Simple, stats & info-theory",PyMFE,Statistical test for homogeneity of covariances.
cov.mean,0.016,8.000,"Simple, stats & info-theory",PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
cohesiveness.mean,0.015,9.000,Concept & complexity,PyMFE,Improved version of the weighted distance. It captures how dense or sparse is the example distribution.
ch,0.015,10.000,Clustering,PyMFE,Calinski and Harabasz index.
elite_nn.mean,0.014,11.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
min.mean,0.014,12.000,"Simple, stats & info-theory",PyMFE,Minimum value from each attribute.
L1_partial.1,0.014,13.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 1).
pb,0.013,14.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
skewness.mean,0.013,15.000,"Simple, stats & info-theory",PyMFE,Skewness for each attribute.
L3_partial.1,0.013,16.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 1).
F2_partial.1,0.013,17.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
best_node.mean.relative,0.013,18.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
N3_partial.0,0.013,19.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
g_mean.mean,0.013,20.000,"Simple, stats & info-theory",PyMFE,Geometric mean of each attribute.
int,0.013,21.000,Clustering,PyMFE,INT index.
attr_ent.mean,0.012,22.000,"Simple, stats & info-theory",PyMFE,Compute Shannon’s entropy for each predictive attribute.
t_mean.mean,0.012,23.000,"Simple, stats & info-theory",PyMFE,Trimmed mean of each attribute.
sparsity.mean,0.012,24.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
L2_partial.1,0.012,25.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 1).
kurtosis.mean,0.012,26.000,"Simple, stats & info-theory",PyMFE,Kurtosis of each attribute.
N2_partial.0,0.012,27.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
f1.mean,0.012,28.000,Concept & complexity,PyMFE,Maximum Fisher’s discriminant ratio.
wg_dist.mean,0.011,29.000,Concept & complexity,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
N2_partial.1,0.011,30.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 1).
h_mean.mean,0.011,31.000,"Simple, stats & info-theory",PyMFE,Harmonic mean of each attribute.
N3_partial.1,0.010,32.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
mean.mean,0.010,33.000,"Simple, stats & info-theory",PyMFE,Mean value of each attribute.
N4_partial.1,0.010,34.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
w_lambda,0.010,35.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
N4_partial.0,0.010,36.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
tree_shape.mean,0.010,37.000,Model-based,PyMFE,Tree shape for every leaf node.
one_nn.mean,0.009,38.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
class_conc.mean,0.009,39.000,"Simple, stats & info-theory",PyMFE,Compute concentration coefficient between each attribute and class.
nodes_per_level.mean,0.009,40.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
F2_partial.0,0.009,41.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
tree_imbalance.mean,0.009,42.000,Model-based,PyMFE,Tree imbalance for each leaf node.
one_nn.mean.relative,0.009,43.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
naive_bayes.mean.relative,0.008,44.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
N1_partial.1,0.008,45.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 1).
cor.mean,0.008,46.000,"Simple, stats & info-theory",PyMFE,Absolute value of the correlation of distinct dataset column pairs.
n2.mean,0.008,47.000,Concept & complexity,PyMFE,Ratio of intra and extra class nearest neighbor distance.
attr_conc.mean,0.008,48.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
sd.mean,0.008,49.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
mut_inf.mean,0.008,50.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
N1_partial.0,0.008,51.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
naive_bayes.mean,0.008,52.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
best_node.mean,0.008,53.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
