Meta-feature,Importance,Ranking,Type,Origin,Description
L1_partial.0,0.026,1.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
attr_conc.mean,0.021,2.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
kurtosis.mean,0.018,3.000,"Simple, stats & info-theory",PyMFE,Kurtosis of each attribute.
pb,0.018,4.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
ch,0.017,5.000,Clustering,PyMFE,Calinski and Harabasz index.
t1.mean,0.017,6.000,Concept & complexity,PyMFE,Fraction of hyperspheres covering data.
nodes_per_level.mean,0.015,7.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
f1.mean,0.015,8.000,Concept & complexity,PyMFE,Maximum Fisher’s discriminant ratio.
tree_imbalance.mean,0.015,9.000,Model-based,PyMFE,Tree imbalance for each leaf node.
sd_ratio,0.015,10.000,"Simple, stats & info-theory",PyMFE,Statistical test for homogeneity of covariances.
attr_ent.mean,0.014,11.000,"Simple, stats & info-theory",PyMFE,Compute Shannon’s entropy for each predictive attribute.
N3_partial.0,0.014,12.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
class_conc.mean,0.014,13.000,"Simple, stats & info-theory",PyMFE,Compute concentration coefficient between each attribute and class.
skewness.mean,0.013,14.000,"Simple, stats & info-theory",PyMFE,Skewness for each attribute.
mut_inf.mean,0.012,15.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
wg_dist.mean,0.012,16.000,Concept & complexity,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
mad.mean,0.012,17.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
N4_partial.0,0.012,18.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
F2_partial.0,0.012,19.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
N1_partial.0,0.012,20.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
elite_nn.mean,0.011,21.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
sd.mean,0.011,22.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
N4_partial.1,0.011,23.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
N1_partial.1,0.011,24.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 1).
cov.mean,0.011,25.000,"Simple, stats & info-theory",PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
N3_partial.1,0.011,26.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
random_node.mean.relative,0.011,27.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
w_lambda,0.011,28.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
vdu,0.010,29.000,Clustering,PyMFE,Dunn Index.
leaves_homo.mean,0.010,30.000,Model-based,PyMFE,DT model Homogeneity for every leaf node.
cor.mean,0.010,31.000,"Simple, stats & info-theory",PyMFE,Absolute value of the correlation of distinct dataset column pairs.
sparsity.mean,0.010,32.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
nodes_per_inst,0.010,33.000,Model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
naive_bayes.mean,0.010,34.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
best_node.mean.relative,0.010,35.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
one_nn.mean,0.009,36.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
int,0.009,37.000,Clustering,PyMFE,INT index.
ns_ratio,0.009,38.000,"Simple, stats & info-theory",PyMFE,Noisiness of attributes.
f2.mean,0.009,39.000,Concept & complexity,PyMFE,Volume of the overlapping region.
hubs.mean,0.009,40.000,Concept & complexity,PyMFE,Hub score.
