Meta-feature,Importance,Ranking,Type,Origin,Description
ch,0.034,1.000,Clustering,PyMFE,Calinski and Harabasz index.
pb,0.024,2.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
F4_partial.0,0.024,3.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 0).
mad.mean,0.021,4.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
skewness.mean,0.021,5.000,"Simple, stats & info-theory",PyMFE,Skewness for each attribute.
F3_partial.0,0.020,6.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 0).
attr_conc.mean,0.019,7.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
t1.mean,0.018,8.000,Concept & complexity,PyMFE,Fraction of hyperspheres covering data.
T1_partial.1,0.018,9.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 1).
sd.mean,0.018,10.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
sd_ratio,0.017,11.000,"Simple, stats & info-theory",PyMFE,Statistical test for homogeneity of covariances.
T1_partial.0,0.017,12.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
mut_inf.mean,0.017,13.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
iq_range.mean,0.016,14.000,"Simple, stats & info-theory",PyMFE,Interquartile range (IQR) of each attribute.
var.mean,0.016,15.000,"Simple, stats & info-theory",PyMFE,Variance of each attribute.
eigenvalues.mean,0.016,16.000,"Simple, stats & info-theory",PyMFE,Eigenvalues of covariance matrix from dataset.
n2.mean,0.016,17.000,Concept & complexity,PyMFE,Ratio of intra and extra class nearest neighbor distance.
sparsity.mean,0.015,18.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
N2_partial.1,0.014,19.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 1).
N2_partial.0,0.013,20.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
N4_partial.1,0.013,21.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
best_node.mean.relative,0.013,22.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
nr_norm,0.013,23.000,"Simple, stats & info-theory",PyMFE,Number of attributes normally distributed based in a given method.
f1v.mean,0.012,24.000,Concept & complexity,PyMFE,Directional-vector maximum Fisher’s discriminant ratio.
w_lambda,0.011,25.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
class_conc.mean,0.011,26.000,"Simple, stats & info-theory",PyMFE,Compute concentration coefficient between each attribute and class.
kurtosis.mean,0.011,27.000,"Simple, stats & info-theory",PyMFE,Kurtosis of each attribute.
sil,0.010,28.000,Clustering,PyMFE,Mean silhouette value.
naive_bayes.mean,0.010,29.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
wg_dist.mean,0.010,30.000,Concept & complexity,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
gravity,0.010,31.000,"Simple, stats & info-theory",PyMFE,Distance between minority and majority classes center of mass.
N1_partial.0,0.010,32.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
cov.mean,0.010,33.000,"Simple, stats & info-theory",PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
ns_ratio,0.010,34.000,"Simple, stats & info-theory",PyMFE,Noisiness of attributes.
tree_imbalance.mean,0.009,35.000,Model-based,PyMFE,Tree imbalance for each leaf node.
vdb,0.009,36.000,Clustering,PyMFE,Davies and Bouldin Index.
worst_node.mean.relative,0.009,37.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
f1.mean,0.009,38.000,Concept & complexity,PyMFE,Maximum Fisher’s discriminant ratio.
cls_coef,0.009,39.000,Concept & complexity,PyMFE,Clustering coefficient.
linear_discr.mean.relative,0.009,40.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
N3_partial.0,0.008,41.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
N4_partial.0,0.008,42.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
attr_ent.mean,0.008,43.000,"Simple, stats & info-theory",PyMFE,Compute Shannon’s entropy for each predictive attribute.
nodes_per_level.mean,0.008,44.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
f3.mean,0.008,45.000,Concept & complexity,PyMFE,Compute feature maximum individual efficiency.
density,0.008,46.000,Concept & complexity,PyMFE,Average density of the network.
F2_partial.0,0.008,47.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
l1.mean,0.008,48.000,Concept & complexity,PyMFE,Sum of error distance by linear programming.
impconceptvar.mean,0.008,49.000,Concept & complexity,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
F2_partial.1,0.008,50.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
eq_num_attr,0.007,51.000,"Simple, stats & info-theory",PyMFE,Number of attributes equivalent for a predictive task.
joint_ent.mean,0.007,52.000,"Simple, stats & info-theory",PyMFE,Joint entropy between each attribute and class.
max.mean,0.007,53.000,"Simple, stats & info-theory",PyMFE,Maximum value from each attribute.
cohesiveness.mean,0.007,54.000,Concept & complexity,PyMFE,Improved version of the weighted distance. It captures how dense or sparse is the example distribution.
n1,0.007,55.000,Concept & complexity,PyMFE,Fraction of borderline points.
n4.mean,0.007,56.000,Concept & complexity,PyMFE,Non-linearity of the k-NN Classifier.
f2.mean,0.007,57.000,Concept & complexity,PyMFE,Volume of the overlapping region.
N3_partial.1,0.007,58.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
h_mean.mean,0.007,59.000,"Simple, stats & info-theory",PyMFE,Harmonic mean of each attribute.
random_node.mean.relative,0.007,60.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
n3.mean,0.007,61.000,Concept & complexity,PyMFE,Error rate of the nearest neighbor classifier.
nodes_repeated.mean,0.007,62.000,Model-based,PyMFE,Number of repeated nodes in DT model.
t_mean.mean,0.007,63.000,"Simple, stats & info-theory",PyMFE,Trimmed mean of each attribute.
median.mean,0.006,64.000,"Simple, stats & info-theory",PyMFE,Median value from each attribute.
L2_partial.0,0.006,65.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 0).
c2,0.006,66.000,Concept & complexity,PyMFE,Imbalance ratio.
N1_partial.1,0.006,67.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 1).
cor.mean,0.006,68.000,"Simple, stats & info-theory",PyMFE,Absolute value of the correlation of distinct dataset column pairs.
int,0.006,69.000,Clustering,PyMFE,INT index.
t3,0.006,70.000,Concept & complexity,PyMFE,Average number of PCA dimensions per points.
