Meta-feature,Importance,Ranking,Type,Origin,Description
sparsity.mean,0.025,1.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
t1.mean,0.023,2.000,Concept & complexity,PyMFE,Fraction of hyperspheres covering data.
cls_coef,0.018,3.000,Concept & complexity,PyMFE,Clustering coefficient.
T1_partial.0,0.017,4.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
L1_partial.1,0.017,5.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 1).
attr_conc.mean,0.016,6.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
N2_partial.0,0.015,7.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
sd_ratio,0.015,8.000,"Simple, stats & info-theory",PyMFE,Statistical test for homogeneity of covariances.
iq_range.mean,0.015,9.000,"Simple, stats & info-theory",PyMFE,Interquartile range (IQR) of each attribute.
mad.mean,0.014,10.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
kurtosis.mean,0.014,11.000,"Simple, stats & info-theory",PyMFE,Kurtosis of each attribute.
skewness.mean,0.014,12.000,"Simple, stats & info-theory",PyMFE,Skewness for each attribute.
nodes_per_level.mean,0.014,13.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
f3.mean,0.013,14.000,Concept & complexity,PyMFE,Compute feature maximum individual efficiency.
N3_partial.0,0.013,15.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
f1v.mean,0.012,16.000,Concept & complexity,PyMFE,Directional-vector maximum Fisher’s discriminant ratio.
class_conc.mean,0.012,17.000,"Simple, stats & info-theory",PyMFE,Compute concentration coefficient between each attribute and class.
elite_nn.mean,0.012,18.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
best_node.mean,0.011,19.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
N1_partial.1,0.011,20.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 1).
ch,0.011,21.000,Clustering,PyMFE,Calinski and Harabasz index.
median.mean,0.011,22.000,"Simple, stats & info-theory",PyMFE,Median value from each attribute.
N4_partial.1,0.011,23.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
pb,0.011,24.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
nodes_repeated.mean,0.010,25.000,Model-based,PyMFE,Number of repeated nodes in DT model.
F4_partial.1,0.010,26.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 1).
L3_partial.1,0.010,27.000,Concept & complexity,ImbCoL,Nonlinearity of a linear classifier (Class 1).
mean.mean,0.010,28.000,"Simple, stats & info-theory",PyMFE,Mean value of each attribute.
g_mean.mean,0.010,29.000,"Simple, stats & info-theory",PyMFE,Geometric mean of each attribute.
wg_dist.mean,0.010,30.000,Concept & complexity,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
min.mean,0.010,31.000,"Simple, stats & info-theory",PyMFE,Minimum value from each attribute.
L2_partial.1,0.010,32.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 1).
cor.mean,0.010,33.000,"Simple, stats & info-theory",PyMFE,Absolute value of the correlation of distinct dataset column pairs.
best_node.mean.relative,0.010,34.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
t_mean.mean,0.010,35.000,"Simple, stats & info-theory",PyMFE,Trimmed mean of each attribute.
eigenvalues.mean,0.010,36.000,"Simple, stats & info-theory",PyMFE,Eigenvalues of covariance matrix from dataset.
F3_partial.1,0.010,37.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 1).
range.mean,0.010,38.000,"Simple, stats & info-theory",PyMFE,Range (max - min) of each attribute.
attr_ent.mean,0.010,39.000,"Simple, stats & info-theory",PyMFE,Compute Shannon’s entropy for each predictive attribute.
F2_partial.0,0.010,40.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
naive_bayes.mean,0.010,41.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
max.mean,0.010,42.000,"Simple, stats & info-theory",PyMFE,Maximum value from each attribute.
f1.mean,0.010,43.000,Concept & complexity,PyMFE,Maximum Fisher’s discriminant ratio.
nr_inst,0.009,44.000,"Simple, stats & info-theory",PyMFE,Number of instances (rows) in the dataset.
N2_partial.1,0.009,45.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 1).
f2.mean,0.009,46.000,Concept & complexity,PyMFE,Volume of the overlapping region.
N1_partial.0,0.009,47.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
worst_node.mean,0.009,48.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
hubs.mean,0.009,49.000,Concept & complexity,PyMFE,Hub score.
var.mean,0.009,50.000,"Simple, stats & info-theory",PyMFE,Variance of each attribute.
n2.mean,0.009,51.000,Concept & complexity,PyMFE,Ratio of intra and extra class nearest neighbor distance.
naive_bayes.mean.relative,0.009,52.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
cohesiveness.mean,0.009,53.000,Concept & complexity,PyMFE,Improved version of the weighted distance. It captures how dense or sparse is the example distribution.
N4_partial.0,0.009,54.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
