Meta-feature,Importance,Ranking,Type,Origin,Description
t1.mean,0.022,1.000,Concept & complexity,PyMFE,Fraction of hyperspheres covering data.
N4_partial.0,0.020,2.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
N1_partial.0,0.020,3.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
L1_partial.0,0.020,4.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 0).
skewness.mean,0.019,5.000,"Simple, stats & info-theory",PyMFE,Skewness for each attribute.
kurtosis.mean,0.019,6.000,"Simple, stats & info-theory",PyMFE,Kurtosis of each attribute.
sd_ratio,0.017,7.000,"Simple, stats & info-theory",PyMFE,Statistical test for homogeneity of covariances.
F2_partial.0,0.017,8.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 0).
h_mean.mean,0.016,9.000,"Simple, stats & info-theory",PyMFE,Harmonic mean of each attribute.
wg_dist.mean,0.015,10.000,Concept & complexity,PyMFE,Weighted distance. Captures how dense or sparse is the example distribution.
cov.mean,0.014,11.000,"Simple, stats & info-theory",PyMFE,Absolute value of the covariance of distinct dataset attribute pairs.
N3_partial.0,0.014,12.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 0).
pb,0.013,13.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
elite_nn.mean,0.012,14.000,Landmarking,PyMFE,Performance of Elite Nearest Neighbor.
tree_imbalance.mean,0.012,15.000,Model-based,PyMFE,Tree imbalance for each leaf node.
attr_conc.mean,0.012,16.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
cor.mean,0.012,17.000,"Simple, stats & info-theory",PyMFE,Absolute value of the correlation of distinct dataset column pairs.
best_node.mean.relative,0.012,18.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
nodes_per_level.mean,0.012,19.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
ch,0.012,20.000,Clustering,PyMFE,Calinski and Harabasz index.
N2_partial.0,0.012,21.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
nodes_repeated.mean,0.011,22.000,Model-based,PyMFE,Number of repeated nodes in DT model.
attr_ent.mean,0.011,23.000,"Simple, stats & info-theory",PyMFE,Compute Shannon’s entropy for each predictive attribute.
N4_partial.1,0.011,24.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 1).
sparsity.mean,0.011,25.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
min.mean,0.011,26.000,"Simple, stats & info-theory",PyMFE,Minimum value from each attribute.
N3_partial.1,0.011,27.000,Concept & complexity,ImbCoL,Leave-one-out error rate of the 1-nearest neighbor algorithm (Class 1).
f2.mean,0.010,28.000,Concept & complexity,PyMFE,Volume of the overlapping region.
random_node.mean.relative,0.010,29.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
int,0.010,30.000,Clustering,PyMFE,INT index.
nodes_per_inst,0.010,31.000,Model-based,PyMFE,Ratio of non-leaf nodes per number of instances in DT model.
f1.mean,0.010,32.000,Concept & complexity,PyMFE,Maximum Fisher’s discriminant ratio.
F2_partial.1,0.010,33.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
N1_partial.1,0.010,34.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 1).
mad.mean,0.010,35.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
sil,0.010,36.000,Clustering,PyMFE,Mean silhouette value.
f3.mean,0.009,37.000,Concept & complexity,PyMFE,Compute feature maximum individual efficiency.
cohesiveness.mean,0.009,38.000,Concept & complexity,PyMFE,Improved version of the weighted distance. It captures how dense or sparse is the example distribution.
tree_shape.mean,0.009,39.000,Model-based,PyMFE,Tree shape for every leaf node.
naive_bayes.mean,0.009,40.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
n2.mean,0.009,41.000,Concept & complexity,PyMFE,Ratio of intra and extra class nearest neighbor distance.
leaves_homo.mean,0.009,42.000,Model-based,PyMFE,DT model Homogeneity for every leaf node.
class_conc.mean,0.009,43.000,"Simple, stats & info-theory",PyMFE,Compute concentration coefficient between each attribute and class.
T1_partial.0,0.008,44.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
F3_partial.0,0.008,45.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 0).
range.mean,0.008,46.000,"Simple, stats & info-theory",PyMFE,Range (max - min) of each attribute.
eq_num_attr,0.008,47.000,"Simple, stats & info-theory",PyMFE,Number of attributes equivalent for a predictive task.
median.mean,0.008,48.000,"Simple, stats & info-theory",PyMFE,Median value from each attribute.
F4_partial.0,0.008,49.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 0).
n3.mean,0.008,50.000,Concept & complexity,PyMFE,Error rate of the nearest neighbor classifier.
one_nn.mean,0.008,51.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
f1v.mean,0.008,52.000,Concept & complexity,PyMFE,Directional-vector maximum Fisher’s discriminant ratio.
T1_partial.1,0.008,53.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 1).
g_mean.mean,0.008,54.000,"Simple, stats & info-theory",PyMFE,Geometric mean of each attribute.
random_node.mean,0.008,55.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
mut_inf.mean,0.008,56.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
vdb,0.008,57.000,Clustering,PyMFE,Davies and Bouldin Index.
linear_discr.mean.relative,0.008,58.000,Landmarking,PyMFE,Performance of the Linear Discriminant classifier.
nr_outliers,0.008,59.000,"Simple, stats & info-theory",PyMFE,Number of attributes with at least one outlier value.
L1_partial.1,0.008,60.000,Concept & complexity,ImbCoL,Distance of erroneous instances to a linear classifier (Class 1).
vdu,0.008,61.000,Clustering,PyMFE,Dunn Index.
n4.mean,0.008,62.000,Concept & complexity,PyMFE,Non-linearity of the k-NN Classifier.
F4_partial.1,0.007,63.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 1).
N2_partial.1,0.007,64.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 1).
worst_node.mean.relative,0.007,65.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
F3_partial.1,0.007,66.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 1).
hubs.mean,0.007,67.000,Concept & complexity,PyMFE,Hub score.
l1.mean,0.007,68.000,Concept & complexity,PyMFE,Sum of error distance by linear programming.
best_node.mean,0.007,69.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
ns_ratio,0.007,70.000,"Simple, stats & info-theory",PyMFE,Noisiness of attributes.
nr_norm,0.007,71.000,"Simple, stats & info-theory",PyMFE,Number of attributes normally distributed based in a given method.
max.mean,0.007,72.000,"Simple, stats & info-theory",PyMFE,Maximum value from each attribute.
worst_node.mean,0.007,73.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
impconceptvar.mean,0.007,74.000,Concept & complexity,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
L2_partial.0,0.006,75.000,Concept & complexity,ImbCoL,Training error of a linear classifier (Class 0).
f4.mean,0.006,76.000,Concept & complexity,PyMFE,Collective feature efficiency.
nr_inst,0.006,77.000,"Simple, stats & info-theory",PyMFE,Number of instances (rows) in the dataset.
joint_ent.mean,0.006,78.000,"Simple, stats & info-theory",PyMFE,Joint entropy between each attribute and class.
one_nn.mean.relative,0.006,79.000,Landmarking,PyMFE,Performance of the 1-Nearest Neighbor classifier.
nr_cor_attr,0.006,80.000,"Simple, stats & info-theory",PyMFE,Number of distinct highly correlated pair of attributes.
