Meta-feature,Importance,Ranking,Type,Origin,Description
sparsity.mean,0.043,1.000,"Simple, stats & info-theory",PyMFE,(Possibly normalized) sparsity metric for each attribute.
w_lambda,0.025,2.000,"Simple, stats & info-theory",PyMFE,Wilks’ Lambda value.
F3_partial.0,0.024,3.000,Concept & complexity,ImbCoL,Maximum individual feature efficiency (Class 0).
F4_partial.0,0.020,4.000,Concept & complexity,ImbCoL,Collective feature efficiency (Class 0).
impconceptvar.mean,0.020,5.000,Concept & complexity,PyMFE,Improved concept variation that estimates the variability of class labels among examples.
sd.mean,0.020,6.000,"Simple, stats & info-theory",PyMFE,Standard deviation of each attribute.
mad.mean,0.019,7.000,"Simple, stats & info-theory",PyMFE,Median Absolute Deviation (MAD) adjusted by a factor.
ch,0.017,8.000,Clustering,PyMFE,Calinski and Harabasz index.
iq_range.mean,0.017,9.000,"Simple, stats & info-theory",PyMFE,Interquartile range (IQR) of each attribute.
eigenvalues.mean,0.017,10.000,"Simple, stats & info-theory",PyMFE,Eigenvalues of covariance matrix from dataset.
best_node.mean.relative,0.017,11.000,Landmarking,PyMFE,Performance of a the best single decision tree node.
var.mean,0.017,12.000,"Simple, stats & info-theory",PyMFE,Variance of each attribute.
c2,0.016,13.000,Concept & complexity,PyMFE,Imbalance ratio.
mut_inf.mean,0.016,14.000,"Simple, stats & info-theory",PyMFE,Mutual information between each attribute and target.
naive_bayes.mean,0.015,15.000,Landmarking,PyMFE,Performance of the Naive Bayes classifier.
conceptvar.mean,0.015,16.000,Concept & complexity,PyMFE,Concept variation that estimates the variability of class labels among examples.
attr_conc.mean,0.014,17.000,"Simple, stats & info-theory",PyMFE,Compute concentration coef. of each pair of distinct attributes.
random_node.mean,0.014,18.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
random_node.mean.relative,0.013,19.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by a random attribute.
nodes_per_level.mean,0.013,20.000,Model-based,PyMFE,Ratio of number of nodes per tree level in DT model.
N4_partial.0,0.013,21.000,Concept & complexity,ImbCoL,Nonlinearity of the one-nearest neighbor classifier (Class 0).
T1_partial.0,0.012,22.000,Concept & complexity,ImbCoL,Fraction of maximum covering spheres on data (Class 0).
worst_node.mean.relative,0.011,23.000,Landmarking,PyMFE,Performance of the single decision tree node model induced by the worst informative attribute.
pb,0.011,24.000,Clustering,PyMFE,Pearson correlation between class matching and instance distances.
N1_partial.0,0.011,25.000,Concept & complexity,ImbCoL,Fraction of points lying on the class boundary (Class 0).
F2_partial.1,0.011,26.000,Concept & complexity,ImbCoL,Overlapping of the per-class bounding boxes (Class 1).
can_cor.mean,0.011,27.000,"Simple, stats & info-theory",PyMFE,Compute canonical correlations of data.
cls_coef,0.011,28.000,Concept & complexity,PyMFE,Clustering coefficient.
l1.mean,0.010,29.000,Concept & complexity,PyMFE,Sum of error distance by linear programming.
N2_partial.0,0.010,30.000,Concept & complexity,ImbCoL,Average intra/inter class nearest neighbor distances (Class 0).
joint_ent.mean,0.010,31.000,"Simple, stats & info-theory",PyMFE,Joint entropy between each attribute and class.
