,attr_conc.mean,attr_ent.mean,attr_to_inst,best_node.mean,best_node.mean.relative,c1,c2,can_cor.mean,cat_to_num,ch,class_conc.mean,class_ent,cls_coef,cohesiveness.mean,conceptvar.mean,cor.mean,cov.mean,density,eigenvalues.mean,elite_nn.mean,elite_nn.mean.relative,eq_num_attr,f1.mean,f1v.mean,f2.mean,f3.mean,f4.mean,freq_class.mean,g_mean.mean,gravity,h_mean.mean,hubs.mean,impconceptvar.mean,inst_to_attr,int,iq_range.mean,joint_ent.mean,kurtosis.mean,l1.mean,l2.mean,l3.mean,leaves,leaves_branch.mean,leaves_corrob.mean,leaves_homo.mean,leaves_per_class.mean,lh_trace,linear_discr.mean,linear_discr.mean.relative,lsc,mad.mean,max.mean,mean.mean,median.mean,min.mean,mut_inf.mean,n1,n2.mean,n3.mean,n4.mean,naive_bayes.mean,naive_bayes.mean.relative,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_repeated.mean,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,nre,ns_ratio,one_itemset.mean,one_nn.mean,one_nn.mean.relative,p_trace,pb,random_node.mean,random_node.mean.relative,range.mean,roy_root,sc,sd.mean,sd_ratio,sil,skewness.mean,sparsity.mean,t1.mean,t2,t3,t4,t_mean.mean,tree_depth.mean,tree_imbalance.mean,tree_shape.mean,two_itemset.mean,var.mean,var_importance.mean,vdb,vdu,w_lambda,wg_dist.mean,worst_node.mean,worst_node.mean.relative,overlapping.F2_partial.0,overlapping.F2_partial.1,overlapping.F3_partial.0,overlapping.F3_partial.1,overlapping.F4_partial.0,overlapping.F4_partial.1,neighborhood.N1_partial.0,neighborhood.N1_partial.1,neighborhood.N2_partial.0,neighborhood.N2_partial.1,neighborhood.N3_partial.0,neighborhood.N3_partial.1,neighborhood.N4_partial.0,neighborhood.N4_partial.1,neighborhood.T1_partial.0,neighborhood.T1_partial.1,linearity.class.L1_partial.0,linearity.class.L1_partial.1,linearity.class.L2_partial.0,linearity.class.L2_partial.1,linearity.class.L3_partial.0,linearity.class.L3_partial.1
Bagging,0.008077566702900003,0.005970255305054498,0.0068980349993399545,0.007434129297946058,0.007773690780744158,0.006075910223146723,0.006200293528247643,0.008932511617901,0.0,0.008166684784933315,0.008601019288867341,0.006027280160692229,0.006323463237213529,0.00697161008237473,0.005905105204148622,0.009330081341706703,0.007999956734391845,0.005632674727739857,0.009024655711970185,0.0068172316637382215,0.00992807330774785,0.007813031834684481,0.009297273537004717,0.008967900874791036,0.010524252464855778,0.007990817268770958,0.006830745793247607,0.0,0.00861709610819257,0.01085284969684624,0.008442553155051933,0.006915155281169126,0.005353169248264711,0.006450680712140192,0.010751189661194165,0.008324762136328545,0.005695997411738724,0.00784622844358284,0.00807435668231085,0.007605774094547917,0.008754299849880907,0.006748250556308373,0.008954981051130758,0.006897222685168757,0.007284225564009319,0.0,0.007638222243605538,0.007493682801702966,0.009910380312218777,0.006530355410068269,0.008788343652706853,0.00877547880648175,0.007938901738186264,0.008296918233850958,0.00832914800458767,0.007908837847591998,0.006832866578107355,0.00725458304953948,0.006649866157118832,0.00787823267483328,0.008481715861549843,0.008019830042106216,0.006682820429220434,0.006721106710300288,0.006283662435932021,0.007501664637096906,0.008230270542371477,0.001494232278973963,0.0,0.0,0.0,0.0067745688495171414,0.0,0.006909176981832233,0.003993802780302113,0.0012585434945731376,0.01033725705545027,0.006038225857458226,0.008467901244451898,0.0042816813112392625,0.00712366574775816,0.008228194438077593,0.008829542301932352,0.011338785427846899,0.0069255730038597614,0.007223695257137116,0.007703051853452661,0.008336209924322616,0.0006806177073646988,0.009207043593439653,0.007617641384639768,0.01068279744885479,0.009052574340617509,0.007551760648947179,0.008074907870470644,0.00645044381134512,0.00737920849308487,0.0051885139896882945,0.009274990389974078,0.008410886224261201,0.009284542925662989,0.008731404427803085,0.0043088927351839605,0.009108475594150196,0.0015265530503698274,0.010256672906505011,0.006264956490328298,0.011359642151857965,0.009732992827804337,0.007524524896418848,0.008058827404974144,0.00999265663639271,0.010734181762514687,0.008106502242583032,0.00838891986298027,0.008532734352028885,0.007815770161396902,0.009234403359621472,0.009292888042627512,0.0077285862172861005,0.007813271025303813,0.008785525642152988,0.008063411120702491,0.007862809751196418,0.00824069346784035,0.007058271915539818,0.008751277123325097,0.01322403324271345,0.01082391955185192,0.015975562376446758,0.011273709913203457,0.01687466279653388,0.009203299332623992
GLVQ,0.004606560266740395,0.005160752703683375,0.005326125249321353,0.010448115613632576,0.004546594335163044,0.014718854795735604,0.015583172666937426,0.012766554048858318,0.0,0.011719424599619494,0.005902181448033515,0.016958283316441215,0.0038819861851575516,0.004858927729585365,0.018028498226507636,0.008104098121083186,0.008222506560055576,0.007388387647848324,0.008279046177380829,0.005887709982600401,0.007681149370648894,0.005459272042417293,0.012662583302551251,0.008064486550660353,0.004920215304833704,0.006063882168983204,0.00518975525674888,0.0,0.0070925455905451115,0.011636395700226468,0.007070229216177068,0.007971100935796274,0.010384527447779098,0.004997456263087899,0.013290670712936947,0.012242518510653687,0.009197548574993619,0.01220881833248177,0.00800761718524616,0.010103054280282483,0.010108143427377383,0.0075714629791749566,0.006243362198993727,0.008985957238879256,0.0038653862143788794,0.0,0.007966455978817505,0.011268191850380338,0.006358834584618331,0.006580581722655875,0.01018651746634208,0.011848510208998653,0.006279405560015301,0.012405524862835667,0.00979657543003633,0.006528013513861611,0.006724058920499323,0.004059415535446885,0.008003502289121212,0.006888393446815577,0.006802300378159988,0.003908082908195342,0.008273682031930765,0.008779129981706648,0.006617574382935891,0.004539671563009001,0.007363974884413909,0.0015120758390304602,0.0,0.0,0.0,0.006961130501666839,0.0,0.0065871958503064595,0.001986764651941885,0.003332132682730979,0.004840763504030321,0.01455384469442117,0.005752825906301296,0.005030177175779336,0.005206775959454803,0.0074417749418555345,0.013484361832527481,0.007127564564042497,0.011601632206529787,0.005324402073123849,0.008300495241997712,0.009598269447982683,0.0005068293924004757,0.01161894398597312,0.004342180518454435,0.0075421626376621555,0.005632591549629988,0.0056934856994221225,0.005665818977067091,0.006486816882024577,0.00727381605198952,0.005886418668025153,0.012940050310370243,0.006153023334129176,0.006239315606305648,0.009479861366268,0.005616726902402331,0.011874787173981903,0.005409519291337631,0.00790082454215422,0.005650143465412592,0.01293648740181869,0.009400589714059075,0.019201174293866665,0.006466487437877337,0.007232286605078791,0.005587837231060799,0.012284636862905311,0.006760628775836553,0.015645756460700502,0.004983611598535717,0.005868709818799427,0.0042906498346092295,0.005104064069554441,0.004212775717873359,0.005835987274088019,0.0052787710972403475,0.004567404767328554,0.007965522244139166,0.004351342924743713,0.005556002289100272,0.012076098309097236,0.010001630278981584,0.009265778425187311,0.009011854210306825,0.011308738280449001,0.009665354666992828
GP,0.00719803513741905,0.005975622513946505,0.006989951098529416,0.009359192403081546,0.007997752036953458,0.016632511787079755,0.016419893657759803,0.009584186314370755,0.0,0.008555032409307705,0.0070901538089456475,0.012723455681097843,0.008419413271649582,0.006113187467769201,0.01312342798323983,0.0065320411545626055,0.0073606498380513405,0.006253460744020897,0.010271006405782383,0.007921764503392626,0.007518334313096771,0.006035973014457358,0.009172479335036616,0.009319386799851634,0.007729314747381415,0.008491976086063236,0.007455347523147607,0.0,0.006705030186756316,0.007218023438198304,0.006493341154101032,0.00616457492539348,0.007489612595511849,0.005977764177917416,0.008984941817040067,0.009471502736472027,0.007876744554672944,0.008882346562047621,0.007352404143236389,0.008013871642995385,0.009284766284447767,0.00549476974428535,0.005491127561240353,0.006038480296028494,0.00496236102806032,0.0,0.007744796499625675,0.011524914153846186,0.011384342335167268,0.004947760532535828,0.010281392018135124,0.00832696518197641,0.007047585459002064,0.008657900566445687,0.008547865543762896,0.008202451310069596,0.007549614624620604,0.007164529339204233,0.00655902697782896,0.006963369936650963,0.01056410249589092,0.0079663793889886,0.0051832324008043084,0.005588665603723872,0.007705603464123734,0.007206622369754969,0.006711030413706487,0.0019045694106429516,0.0,0.0,0.0,0.005725396525392994,0.0,0.006610496834894226,0.005685278847328005,0.0017254645872710264,0.009006473538400134,0.015845652253539295,0.0071470212029089335,0.004264157294868656,0.0071499273973184415,0.00897474753133967,0.009381171982465804,0.010013776514692735,0.017310739943217794,0.008396859308901446,0.007028181837409813,0.00767537357061028,0.002188997432433867,0.009354261020691014,0.00795239183996647,0.009333753715578555,0.006360054626395427,0.009998118805988459,0.004971493351766386,0.006144643954552722,0.006650332643624021,0.00466054009476383,0.008797151780761672,0.006118939430891612,0.006111300595435906,0.006182719221965563,0.004235006830215121,0.011151331979307661,0.0012208651594696651,0.006712461136250483,0.005394618214685451,0.009747481555526634,0.00786127918147096,0.015006493612873878,0.007698500945423247,0.006190573388352669,0.009183495198033494,0.0069293602910952875,0.009027000058384287,0.007381152448681852,0.009332213451587662,0.007285242842442621,0.006249642700252674,0.00878289421649417,0.00674942195580431,0.009077069441571677,0.005536239116963748,0.006965806094972909,0.006639022224345085,0.008110047219675712,0.006992487820125957,0.013981569830607572,0.007765537149037094,0.013472174760954936,0.008164171592593706,0.013422352532236304,0.007091136454281397
KNORAE,0.008650565691518383,0.007443275628620833,0.007700762927034764,0.0074968682336042656,0.011547563664863661,0.0070686415855938855,0.007125189544211161,0.0066641413668321915,0.0,0.008557021806856217,0.008471039865773461,0.007330779692033928,0.006565506361420879,0.00696489450156229,0.006465137279027676,0.009249999067368453,0.009455492056127944,0.005837327194406881,0.011316413188811332,0.008085898704602953,0.006764809035642424,0.009731687999713478,0.007307810807412635,0.009360113011353957,0.00859556347160468,0.008810213341625319,0.00748600291735302,0.0,0.007836886949535755,0.008886756663835463,0.0073934663099588845,0.008402588702975543,0.006853853139874757,0.0069221954517177525,0.009636650822335389,0.010447604536203137,0.007223199296065997,0.009898970537024638,0.008493325345349629,0.007505280033783783,0.008190568154488483,0.006929703556913725,0.008718387285662033,0.007494961231105103,0.008529254147625495,0.0,0.006468835347601466,0.00822811384264211,0.009390741896697025,0.0076289879535359215,0.013171473982811122,0.008802137575550832,0.007226713259201915,0.008365073638251619,0.007068956996043848,0.009601232653014082,0.007219157930905826,0.007672541483566067,0.00879348771289343,0.008959480845573017,0.0077377209597635915,0.009052851164460866,0.007305857621679414,0.007093789554840163,0.008369160106312971,0.00985094030851704,0.008716154879237607,0.000752248842330102,0.0,0.0,0.0,0.006186416146353859,0.0,0.007106661674851765,0.006083229916537715,0.0005490973925366403,0.007534851507398856,0.007299222063774659,0.008257290449075593,0.004817964575130708,0.008771757567076028,0.006313489809503316,0.006799318997988244,0.009989537778588268,0.00801033234266688,0.008574503051811302,0.008359162374779879,0.0066650252438710325,0.0009089492724830469,0.010175011540615678,0.008119479983746736,0.007920885708154926,0.008648956475221563,0.007938144729228838,0.008826465099020927,0.007221145459398287,0.00891880947963119,0.006066891642525766,0.007628518780382011,0.008744608658467646,0.010314661945348741,0.008002984694991716,0.004805091245357262,0.011535182355581772,0.000677559159162639,0.008891228860399076,0.008250655231628977,0.006865162929713168,0.00890703748630662,0.007595305565410682,0.009902122770971392,0.008258195345433894,0.008756743771650723,0.00846363107314963,0.008680525014771533,0.008241307388955184,0.008757551061828812,0.007668573140754441,0.007917153855209186,0.008020466274001317,0.007195569974158405,0.009487142420743227,0.010068668457848609,0.00939299134536033,0.008197038435906173,0.006096088133740342,0.006521389821503692,0.010752347465445466,0.008280098126658591,0.010429222095583765,0.006522185795540311,0.009897867392394594,0.007320493978806105
KNORAU,0.008411536658630212,0.006819347198798278,0.007252373352827977,0.007564178859740382,0.008080003844462166,0.0063941340439398605,0.006770738138027448,0.010611526828957303,0.0,0.008159734583209382,0.008248225571226524,0.0063674085211270935,0.006165208959131338,0.0070478018728597465,0.006056612924365659,0.007993351319502582,0.010082218844915034,0.006542640446039764,0.009639090428494944,0.00907396348094258,0.007691955364071464,0.006346013176317088,0.009512582895734518,0.010823338640564471,0.007302389705741139,0.00818005009763506,0.008527837221707281,0.0,0.011940012345311234,0.00954058859366736,0.01018504049670245,0.00800291948168649,0.006480294503276481,0.007140459832148121,0.012805076840115639,0.008139878146042912,0.006038851860902525,0.00881360098376998,0.007573045210246182,0.006870455205285793,0.00805120532176652,0.006121334157966944,0.007644257496402155,0.0063006042690552854,0.005412644815565079,0.0,0.007832487187407366,0.007652172068227478,0.007861413928065065,0.006530768304608913,0.009282237944734737,0.009535536804116696,0.007857833786267492,0.01033954604611908,0.00946077588473567,0.0073685428248792765,0.006193334617980571,0.007890395715367591,0.006805662509037879,0.007987845626291798,0.007641946217173136,0.010092648540015596,0.00605037277152364,0.006010612531138236,0.006567213832666715,0.007008045672916166,0.007180625141897026,0.0008238407667730856,0.0,0.0,0.0,0.006789448011007815,0.0,0.006613669655243643,0.00542545511538178,0.001091263201786699,0.008724193612883655,0.006520226609301309,0.007410998032303801,0.004729078283705559,0.0075388658342562176,0.007753674464921508,0.009044020549741964,0.01041678985633763,0.007277455280286501,0.007418538221304732,0.007114536640219528,0.007791405750536503,0.0008000856018479585,0.008980618697420206,0.008589723911038655,0.008878287645283454,0.008583521319525248,0.010011081299278125,0.009599820299927963,0.006683959261758141,0.006665558076572755,0.004874778971385018,0.010736417907435913,0.006899690791911846,0.006940714983592648,0.007939769396246259,0.004759139625786561,0.008806203287053895,0.0010019641955877068,0.010709224137230603,0.006097776722479381,0.012259716985408543,0.007550270755741003,0.007591683393656821,0.006724960759959797,0.007619214051397783,0.009900027820165103,0.007178027086665283,0.008940664509239304,0.007233773777431984,0.009280112367643492,0.008051041036557585,0.010637680003623319,0.007439758076821767,0.008970910984869442,0.008348490450143572,0.010758320103716483,0.008947381986779494,0.009659728886309473,0.006550110065369692,0.00820103028003664,0.011270455706643076,0.012358507761624924,0.01251434491077833,0.011433802785726359,0.01294019014030303,0.011723448801982872
LCA,0.010033098775724827,0.008033068116091764,0.007820064363642017,0.008243667289818346,0.009240748449283803,0.007341458501994834,0.007156630372124327,0.011828929204408008,0.0,0.008927108227398995,0.008938657425065047,0.006310045963588456,0.005105129298856819,0.007419075572886064,0.006980482938377513,0.009138355124649692,0.009239800081113518,0.005421253966662357,0.009116395081210418,0.007494687946833347,0.007673705355932935,0.008569366670317262,0.010032746346629635,0.008444092397334917,0.007049329835042724,0.008071233324536402,0.0066351241544707635,0.0,0.006594352967063626,0.008042596903545167,0.006511914683692744,0.008220591276218641,0.006560235051088206,0.007763595625867429,0.008263721310404107,0.008773525371135934,0.006474554729431747,0.00899883809520612,0.007339059265159437,0.007021608083895229,0.007876159164340991,0.007496524515861708,0.009446904598303796,0.0073381900311888576,0.009270868075148537,0.0,0.009602725564814235,0.0076585505815463285,0.007780825537931424,0.007010026293977166,0.009709982309526154,0.007790260366374715,0.007080746928977731,0.008170974587586534,0.006726335540262865,0.008644407903298425,0.007632118766130056,0.0064672341302940955,0.00714896478766433,0.009112551331360961,0.008254441682268748,0.007749102064382765,0.007681658921353818,0.007308000279460727,0.008003504217795039,0.009526800855779234,0.009264549966545792,0.0007719343870785496,0.0,0.0,0.0,0.00916697512463172,0.0,0.008141973782627125,0.005812117034943436,0.0008132039569237857,0.007579861027142828,0.006897562337532497,0.008378619732357007,0.0054942295892045695,0.007973940560789278,0.007328476185982765,0.010749311697150554,0.009206267078179516,0.007944005714823194,0.009227050584542668,0.007703006922177321,0.009223367138623399,0.0005161586225174609,0.008631418784056967,0.008593471409936992,0.008336922550838895,0.009364596767367877,0.007345926173693382,0.009517961157572934,0.008167438764695313,0.007666902252744022,0.004794066789114897,0.00713151116993645,0.009374112936992307,0.010295737940494126,0.009036903074753562,0.005264044477972054,0.009128742113887816,0.0010220630317381817,0.008804246366853152,0.007863319379754128,0.012861395032827285,0.007407130990328134,0.007407195517004195,0.010082312599607271,0.008323764641855795,0.007807159523624794,0.008830776440450204,0.008047038330776383,0.009294256583259468,0.008053756152384267,0.008941524104230268,0.010580432246839558,0.0061652662507165135,0.007553511667060212,0.007795594561583338,0.009101370540126186,0.010218221316111383,0.009986138841183744,0.006023520249472712,0.005945749263883028,0.010314684218636948,0.00863069330969436,0.009490533333918801,0.008482397014450478,0.011172869031864263,0.007634004469601498
MCB,0.009495910125979671,0.007930597177177551,0.010979757548218422,0.008013109139891639,0.009649170913198224,0.0066830577099816265,0.0067443758058457585,0.006976728163436654,0.0,0.007723401579761614,0.006304692407827838,0.006325958862129831,0.011495705150347719,0.008871381292899012,0.006065851691846246,0.009086539646587649,0.008217231200353744,0.007046877702454524,0.009756224630537439,0.008078653881515805,0.00880481144742863,0.007418281153631607,0.0064920907998929816,0.007529947993190785,0.007560307410913868,0.009153046839548618,0.009160261752522826,0.0,0.008001769467362918,0.00781830974303617,0.007496448233136854,0.008695709912417778,0.007029522530619511,0.008343458321023487,0.007633646694791921,0.009933580216864869,0.006545590065650603,0.007377724781774469,0.009052314119414222,0.007145402526470456,0.00728086801151637,0.007866343790815578,0.008090532666908864,0.007511258704358707,0.006790333954554863,0.0,0.006223394718212788,0.008249570669217169,0.010013396383380368,0.006433349531962285,0.012115483480952729,0.008376029230514975,0.00803582032707234,0.010255222331337507,0.00714181325781442,0.006549593729584567,0.006615164660133502,0.011631915964027868,0.007221759662805652,0.007530056134188795,0.008531864391120332,0.010526458927981293,0.007798951224504685,0.007965867341569774,0.007628556621996935,0.008738020801300758,0.008228026201481857,0.0010094902669789856,0.0,0.0,0.0,0.008208972280013709,0.0,0.007542915142269034,0.00514825628222975,0.0011492582240362071,0.008275615855396407,0.006092377760670328,0.006643328370386323,0.006529482769315115,0.00783445327614184,0.01177638583755939,0.006538712170245292,0.0077209964739171095,0.006711830065638827,0.008258212746751014,0.007487594780589309,0.006308927531995479,0.002428220833798858,0.008781326950210435,0.008390780181891093,0.00733126952207293,0.009505540375708632,0.009062674876797617,0.009479408792156307,0.009004648004878452,0.008046833531993718,0.003681751529676348,0.008966569330086261,0.008239267570883665,0.008628262342445528,0.007796095064782143,0.006893956560744134,0.010098351484742146,0.0018422953405744973,0.008198513994698056,0.007266169141558039,0.006142654191180933,0.0074589065245083816,0.00759102189856193,0.008587879797152122,0.007360083758234364,0.008193862096789522,0.007467123030448495,0.011014418675686265,0.008202951026326536,0.010020091603341929,0.007171289203439543,0.009308417612155489,0.009888639832404783,0.010005641064174935,0.009196595623429858,0.009056874813374725,0.008560986611503826,0.008166013284226033,0.010499591577454155,0.008496857093125506,0.009259004231105731,0.008532900113384282,0.00890989213528901,0.007002339686445386,0.008663611206038258,0.008376506687386525
MLP,0.008761785204182146,0.007588577505321096,0.008495245261807779,0.007959469847041805,0.009579244557328778,0.007157816374281319,0.007284529519808968,0.011572573218928439,0.0,0.011136876079162734,0.009535606224779638,0.007993085258706092,0.008769609064254134,0.006591529691164274,0.007958799374612004,0.0067176258604083475,0.0076484083494051044,0.0060747219109645815,0.009145844439101308,0.006468655142624287,0.007820906031496828,0.00707077309566519,0.008843151639307488,0.01133209659489881,0.006344534378918346,0.00766509452989346,0.008142548784563199,0.0,0.00818820977064013,0.009682987952788257,0.007878955723509534,0.005510153168561726,0.0069646880212179225,0.006994501603870967,0.010806889567521677,0.008840835996461953,0.006747023527888022,0.007888014449995685,0.010217496349708836,0.0075491534556221705,0.006740931623897674,0.0065161404686398285,0.007364000157811564,0.006042133217657651,0.005956739926172082,0.0,0.008876188324018083,0.007372837182398587,0.015475106851220125,0.005749114861676481,0.008641133481071905,0.009503068832543798,0.009033843237687689,0.009241760309312905,0.008841531214537108,0.010857245101553201,0.0067409414609941485,0.009268925047823196,0.006865114487993668,0.008185487094566197,0.008409625900662748,0.009090528347958564,0.006026351458139271,0.005752747694912425,0.006126875116880307,0.006512660625477346,0.0063921038918304356,0.0025011409234134527,0.0,0.0,0.0,0.005538361528085126,0.0,0.006232371966627701,0.007602699685781378,0.001232691265552533,0.006215610576703493,0.007237136226102319,0.0082538548825375,0.006157730966748928,0.005975412728667799,0.006161080818437661,0.0107226683124035,0.009636799114696237,0.006238327195603908,0.009053038682610686,0.007430424941195343,0.009025496782678,0.0018232082013588014,0.010357487961154025,0.006977387759713354,0.007571609680066297,0.0074491086224040114,0.010311990751979788,0.008209851878282154,0.007456891415755665,0.007759124631476153,0.004561125798929934,0.009314235218900107,0.007848731333456933,0.006463782093115026,0.0068153412158533985,0.007010530455769621,0.00909825320696919,0.0010591294451483698,0.008559916448166194,0.005889208221627841,0.011607335975048573,0.007949085459495032,0.006863831027586942,0.010691578812743628,0.006068096882787944,0.009458064130144146,0.011224505349925317,0.00965979980424388,0.013720729732063439,0.00892048636292671,0.008290368687632579,0.008178871179208675,0.009105925026975483,0.010024495998859094,0.007278749605909803,0.008153066846446538,0.006989423377071775,0.009571120980333806,0.010765226755184657,0.010164801745768157,0.007663660671177377,0.007820430340948677,0.00886385144588026,0.008242597228298709,0.008325356824120977,0.008135625367395379
OLA,0.011121763264725412,0.007263095469211805,0.009084407879827129,0.00856242064795388,0.010691541851260901,0.005255261030283574,0.005526546105889369,0.00896145500605114,0.0,0.00835021000745648,0.008291631890643962,0.005555932703747312,0.010581774402063307,0.007505049062611855,0.005313417458633586,0.0083536262347563,0.007534011111971061,0.006315854302812172,0.009205914391252042,0.008979720692616138,0.008393564752377751,0.008471949528391837,0.00844835398537091,0.010238326811975758,0.007282015136185607,0.01123164450915675,0.008518306283239813,0.0,0.008453868619710118,0.008186281000178812,0.007775483723362901,0.007226435324617428,0.00583557811818319,0.00760815306646645,0.008771670349924795,0.010718686103902399,0.005806454775238327,0.00791214662476268,0.007768594614348473,0.00803702287908044,0.010118527368957556,0.007382054877193028,0.00750857878808329,0.007414434613222583,0.0059818420138704025,0.0,0.0076282038491678784,0.010104902357581403,0.008671522950781793,0.0063376764949003035,0.009893105715429612,0.008047290980161102,0.008131045725252169,0.0076000954452679435,0.008716284941250789,0.008453815321569682,0.007555808155216973,0.009780193194306811,0.007667405675586338,0.007312876989325516,0.0086867685291992,0.009860462295393987,0.006906354581796008,0.006487030923592477,0.007760960964549062,0.008023323364118068,0.00828347603814881,0.0011435208819863536,0.0,0.0,0.0,0.0055781118425644914,0.0,0.007241505215642915,0.0049005800060073325,0.0012645468355661279,0.008223874235010278,0.00531754254117635,0.007704501574254043,0.005571416281896305,0.007954159336093928,0.0072456657570444056,0.007873239492261692,0.008502630383753746,0.00644960650153166,0.007701305489084239,0.007714214468249749,0.00761519491971703,0.0019848956811401625,0.008429186777273086,0.006980102414450877,0.008020303214887193,0.007895667189505915,0.00958817006427081,0.008071106275227913,0.008171679343267069,0.008596101169753722,0.0033531553567373268,0.008932679961377926,0.006756237166462403,0.006325946880504163,0.007016121665573435,0.006122942597451664,0.009941505478684347,0.0014954767661045287,0.009568713863924203,0.007328191348626452,0.008100014124661804,0.008350768648043697,0.006593514987583245,0.009074461930624162,0.006795944768731347,0.00776801907849549,0.007538793781041378,0.013317141368449139,0.007348416881334663,0.01206944026736957,0.007552012760675517,0.009616453229637834,0.01178272829371079,0.009373226143391082,0.00967175670819921,0.00857657851645343,0.00781614920996617,0.008285639868298559,0.00950795653711868,0.00858261486908494,0.00842029746917846,0.01152245831221964,0.009430240182462732,0.009942768754705445,0.009674555258241301,0.01125603719909324
Percep,0.008341693511008687,0.0073178052767066655,0.006895157240914636,0.007969158887033263,0.00959725370889909,0.006557933939442624,0.006807559273690365,0.00840485039258116,0.0,0.00860952804257898,0.006684913019675773,0.006665344895326802,0.004439654466635184,0.007002799758297864,0.0066209763067053805,0.010036276549613553,0.009679322518511722,0.004918320283087231,0.008203587237683685,0.008346738340662446,0.007945773206126166,0.007875018408852193,0.009353380935899283,0.008606921481666984,0.008741159327740184,0.00768856720361392,0.006935580507268263,0.0,0.00849567329193983,0.009390379695044224,0.00920834729519465,0.008141630552614906,0.006866112091650658,0.007117392912968959,0.008287682355561335,0.0075591266944053095,0.006846918444281649,0.009348929700901927,0.007091164291213336,0.007626478146932407,0.0080356316949158,0.007169657636452188,0.009110832968132181,0.007693876043964993,0.00964351546665461,0.0,0.008454533243462597,0.007250649758785602,0.008717279599407731,0.006869252638742301,0.009065951062059744,0.007738618402522412,0.007895728141766832,0.00872997638988483,0.008515070617953528,0.008167295601681909,0.007755377241477732,0.007048457982784194,0.008108663126389653,0.00868256097449363,0.008308579229807786,0.0077918980608420885,0.007161675972442483,0.007633011656606708,0.0073121573918688565,0.008443297119487325,0.009318131221727513,0.000830377058402208,0.0,0.0,0.0,0.009843218204182031,0.0,0.007055350801186979,0.007462314651783055,0.00044220396020060155,0.010865829638285081,0.0071727238441544605,0.006927501940624158,0.0047084037752758,0.007740641204754547,0.00748470545048534,0.009086778195797365,0.009333128686315936,0.008501905058658377,0.010354147220385685,0.0077628967646161595,0.00818330870985702,0.0017727461091982574,0.008389223077055277,0.007962733521633474,0.008980714206592385,0.00953082132008254,0.007518821835850626,0.012210011820180774,0.007046035227070936,0.007096856622424109,0.0042536453641131965,0.00867795091939063,0.00921232587501876,0.009400724604507082,0.008161195634442366,0.0046471330738094355,0.008075538840296674,0.0009118352937649608,0.008394975574662233,0.0073801849078627135,0.009150093473287317,0.008154936061374643,0.007540333385537088,0.009593097391720526,0.011327458244469266,0.009688517577616318,0.010006866851047277,0.008354224639902905,0.009112759163591765,0.007783623910453305,0.010570454176700727,0.008913672111477488,0.007564925194192487,0.007044484709224355,0.009248540283641648,0.009282386730182623,0.00906632608735375,0.010542131183111262,0.005696186258262142,0.0075632156965723145,0.010755197658528108,0.008534660372755715,0.010635694648614752,0.0066977664859693585,0.009894624599872065,0.007052124674373048
