,attr_conc.mean,attr_ent.mean,attr_to_inst,best_node.mean,best_node.mean.relative,c1,c2,can_cor.mean,cat_to_num,ch,class_conc.mean,class_ent,cls_coef,cohesiveness.mean,conceptvar.mean,cor.mean,cov.mean,density,eigenvalues.mean,elite_nn.mean,elite_nn.mean.relative,eq_num_attr,f1.mean,f1v.mean,f2.mean,f3.mean,f4.mean,freq_class.mean,g_mean.mean,gravity,h_mean.mean,hubs.mean,impconceptvar.mean,inst_to_attr,int,iq_range.mean,joint_ent.mean,kurtosis.mean,l1.mean,l2.mean,l3.mean,leaves,leaves_branch.mean,leaves_corrob.mean,leaves_homo.mean,leaves_per_class.mean,lh_trace,linear_discr.mean,linear_discr.mean.relative,lsc,mad.mean,max.mean,mean.mean,median.mean,min.mean,mut_inf.mean,n1,n2.mean,n3.mean,n4.mean,naive_bayes.mean,naive_bayes.mean.relative,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_repeated.mean,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,nre,ns_ratio,one_itemset.mean,one_nn.mean,one_nn.mean.relative,p_trace,pb,random_node.mean,random_node.mean.relative,range.mean,roy_root,sc,sd.mean,sd_ratio,sil,skewness.mean,sparsity.mean,t1.mean,t2,t3,t4,t_mean.mean,tree_depth.mean,tree_imbalance.mean,tree_shape.mean,two_itemset.mean,var.mean,var_importance.mean,vdb,vdu,w_lambda,wg_dist.mean,worst_node.mean,worst_node.mean.relative,overlapping.F2_partial.0,overlapping.F2_partial.1,overlapping.F3_partial.0,overlapping.F3_partial.1,overlapping.F4_partial.0,overlapping.F4_partial.1,neighborhood.N1_partial.0,neighborhood.N1_partial.1,neighborhood.N2_partial.0,neighborhood.N2_partial.1,neighborhood.N3_partial.0,neighborhood.N3_partial.1,neighborhood.N4_partial.0,neighborhood.N4_partial.1,neighborhood.T1_partial.0,neighborhood.T1_partial.1,linearity.class.L1_partial.0,linearity.class.L1_partial.1,linearity.class.L2_partial.0,linearity.class.L2_partial.1,linearity.class.L3_partial.0,linearity.class.L3_partial.1
Bagging,0.008645773593540618,0.007757416110980334,0.00610487278929451,0.006753323120797828,0.004917077761892135,0.0063557419657698155,0.00640818933869026,0.009347887943979493,0.0,0.009593475337115796,0.010912059548074542,0.0066831767713064275,0.005957860631223263,0.007528038717537949,0.006039197117803405,0.009760283368907602,0.008568146684968365,0.005769396233205995,0.00866740453539361,0.0072547618481348585,0.0056910812865072396,0.007875226969456927,0.010281191574659084,0.010873410885395764,0.010670732761000263,0.00850605840292592,0.005803501882295617,0.0,0.010785481289336858,0.013239604091188842,0.0116637720693477,0.007012674940438653,0.006602056649473955,0.005854237682622783,0.01047782963020648,0.009003355214077524,0.005955445708643355,0.010776848556649657,0.007605110665008003,0.006623940014034158,0.007074609202254403,0.005274697442710688,0.009348479568268845,0.005675768361331235,0.008617465558561367,0.0,0.008932129436219353,0.007303487843200837,0.0056562053085713005,0.007083935505785323,0.008277226242553578,0.007577207154917881,0.009309678215976417,0.00952996870121377,0.007488311503521621,0.01013263604337471,0.006420054468780278,0.008549210390285151,0.007765794276653343,0.007941440361740442,0.007362980428590449,0.003987896653172654,0.005181872653485563,0.0053806732914201075,0.006144208023087798,0.007502088540398475,0.007389935628778843,0.00012664381578353183,0.0,0.0,0.0,0.003389616194023714,0.0,0.006989007006594275,0.0034007192503648542,0.0001618673328704641,0.0058887613347962655,0.006911644792961223,0.01148720764636378,0.002205460492397028,0.008322288127943644,0.00470211484488581,0.009051760318477955,0.015830373013830407,0.0069340420012113935,0.004112181304273634,0.007592387471105764,0.008401365791763229,9.050019461390591e-05,0.00829739088039871,0.008922967506383713,0.010084067593534383,0.009853917026383068,0.009169498227150123,0.011274971041414667,0.00732151340108398,0.007921328483438956,0.0009969960191583956,0.009900401851617493,0.009773128641853535,0.011389698854910086,0.009580023171256637,0.0021261211358691323,0.008280468851552198,0.0001190281950578089,0.00974547957370736,0.005614609185989141,0.009321587290208525,0.010400610837880197,0.00812834837287876,0.003543910260279588,0.010425913392479825,0.010002602792507706,0.00862763703423249,0.007475785387317107,0.008227372596017227,0.007474299485108827,0.011029208998260811,0.00829731234059721,0.01261973971249758,0.009311737720481673,0.011058698796095298,0.009606430401727109,0.008745150310066391,0.007345193737526478,0.008611189106553665,0.007238276216389132,0.014825152769217658,0.01332398699598466,0.01639599447283798,0.010515517780805506,0.012907228181701955,0.009337959938586401
GLVQ,0.007838640205252769,0.00611649380925458,0.005823688541477757,0.009185246726034414,0.0037537556949745142,0.02189759948402766,0.023694982669089537,0.011925407068664379,0.0,0.011389964224946985,0.007020313273014298,0.028442599010200655,0.003355896458026854,0.00449039180830349,0.02382921474378918,0.009382113741841653,0.008407532888733854,0.006038048756321618,0.005435863455184913,0.005154941210827183,0.0031663261919053095,0.004302565537141074,0.01136159737598912,0.008178405364480414,0.006247670523496905,0.005457336463663389,0.004814253369492985,0.0,0.011735185206066341,0.012244302487678554,0.014298025211338104,0.006277405871470851,0.008294464746455833,0.0060808905706669185,0.009618500764166763,0.0075680338454485905,0.011709398851424063,0.011494950401523955,0.009712661879750695,0.015989282292975974,0.006583223018345217,0.005577675550072803,0.006665816236832639,0.007250389412879716,0.009200753854332033,0.0,0.010336498309391855,0.009705231038559595,0.0049104181172901174,0.008849758560766,0.008560957594892175,0.008968748621124885,0.007017253247643581,0.005602485115478861,0.010793274860694315,0.006619592780612708,0.004812478757135773,0.00595151712702914,0.006393863815821105,0.006275646369458256,0.004688886920571576,0.0015765391235772219,0.006513260440390694,0.008425610946637773,0.00520278498282793,0.004520899877308262,0.012857183120884576,0.0005089566201646162,0.0,0.0,0.0,0.0035387237968020533,0.0,0.004569988860937182,0.0015192870217608165,0.0009828661782875833,0.0034009953405149643,0.023387783647550807,0.007480418957292998,0.0013612238497408323,0.005356286545617413,0.0034101623578002274,0.010713979869064805,0.010298422198065987,0.017109941170918894,0.0032001029383242506,0.004560405279053626,0.011991566777903931,6.428757411000964e-07,0.006053254532411037,0.004443638770651918,0.00853755862235822,0.0066822591291763045,0.007135139295503216,0.006626674748034942,0.0063265558979272935,0.00746783310189976,0.0007450767419193437,0.009217996323948641,0.0050816031670598,0.0065164290509213615,0.011455648650746024,0.0013699544578033745,0.009742916256039008,0.0006012898412709269,0.008535580245797704,0.007623868615423784,0.010283967169589122,0.009986842716090148,0.02812304953499267,0.0020780328958440665,0.00872422712650058,0.0072691700629024325,0.00824895953598761,0.005317744772620796,0.009887354401538716,0.005652043657427573,0.004304098075807647,0.004904184098317011,0.0054612893458386704,0.0048110986689222,0.005190423199485296,0.004866230898397406,0.0073392012330086975,0.009832322793250484,0.003949599875745375,0.00627500130129962,0.009352408797711362,0.012746640662373188,0.010903184027047682,0.009359675541629094,0.00850032716680538,0.013483192180771526
GP,0.010004970035128229,0.008765907670821213,0.004940177452557405,0.008391436230975696,0.004694453025461969,0.01741590093818162,0.019848281778622048,0.012314567459962152,0.0,0.010975865021171347,0.006735723078487205,0.021680512707453293,0.006145391210393351,0.006428737995604713,0.01678843530777787,0.006480437984493567,0.006486039250308868,0.00722031594640374,0.015208900353539008,0.006221528863546225,0.004009547149841269,0.0054373155350949725,0.012234767571590623,0.00597685363238832,0.008798147032857018,0.007433834288881682,0.006365743593118289,0.0,0.010868298347617513,0.007307680292488916,0.01227088220551873,0.006408751240762969,0.010346090340603926,0.00515278692543485,0.008557548681387533,0.013188382030665077,0.012863356063648133,0.010405664871759273,0.006990980300399657,0.008590990938099499,0.006332434670513729,0.00509062666804743,0.004416225151178235,0.00613949611396627,0.004668704515035986,0.0,0.013602026368736144,0.007857150457104802,0.005618849885430661,0.006845919764791797,0.009787801327214046,0.009442363027784735,0.00817888129742238,0.011332803840277775,0.010773676165718206,0.008037266257616568,0.007834140502318456,0.0069322958762618354,0.0052569010294418505,0.006888069106666285,0.012250154539757453,0.003162616460275024,0.005461726762503437,0.004489981172893782,0.0073723585745826496,0.007754719133476167,0.005671592438281753,0.0008776850545173276,0.0,0.0,0.0,0.002850774814497295,0.0,0.006901034481376165,0.004519816434227562,0.0002126475269595073,0.0051267517501405015,0.017406006605840105,0.006379181922331386,0.0025150298497342728,0.005505932747405975,0.004191280194365182,0.012429421425597838,0.010976098765572793,0.015967036451796392,0.005415135646987284,0.006957486798295349,0.011686404986786698,0.00023728133373773154,0.011237353991234636,0.009453116192388467,0.008922762836049317,0.008175999721292435,0.013733367578283848,0.005051655153937209,0.005741858650225525,0.006059369717702634,0.0007001657795698405,0.009335523808430866,0.00449047664938396,0.005231188340847943,0.005225947990247678,0.002490893475268152,0.013301454579152345,0.00013518917341023753,0.006708687103361649,0.0043282186483246795,0.013307109720417029,0.00831363982333634,0.01843720933976464,0.0035699469623149665,0.006799297132322029,0.007110311628336764,0.007486038745866056,0.009329256454398829,0.0077614877334806695,0.007873657272134228,0.006937454845894773,0.006209513414441086,0.009773440902135232,0.006908302919315987,0.008683072602885427,0.0050807490037018035,0.008697529878463915,0.006137290737134198,0.006369242072789523,0.0072012527194213185,0.009718788469557711,0.006489272221898689,0.00936820880349561,0.006792222123374307,0.00901469344967993,0.004998790383812937
KNORAE,0.009283931903203676,0.00809436466849106,0.00734322816699143,0.007257292796466554,0.007611371725567284,0.0057362776018951385,0.005862495885591881,0.00618571219352606,0.0,0.009734465813127884,0.007904261320061404,0.005984404210293842,0.0051513129315098605,0.007585991247552671,0.006023325820455351,0.010666458385524411,0.01230546544774641,0.0065145685756852565,0.018916385974520385,0.009068364972542512,0.003410965731261224,0.010007769915695373,0.008087200954255011,0.008449715552173886,0.009596736560336936,0.008169776239930992,0.007432225122505483,0.0,0.0072784892483349585,0.008505311871797582,0.00860671171464462,0.007998230542306554,0.007830605071633768,0.006790903931896653,0.009231886372117956,0.019193061717110424,0.008397831467057137,0.012068951985866504,0.00824439423704449,0.006992036422856207,0.007522239201593771,0.005917209674251838,0.00799178278263593,0.006709857313817879,0.008612770050167367,0.0,0.006221213168653744,0.008316361375982325,0.005640139870165465,0.008085121564940845,0.019628586663796112,0.010738639373790463,0.008255767844160327,0.009532407067945689,0.007914023453215045,0.00958958067289848,0.006519901699107696,0.011602898750861484,0.009556215160252226,0.008814933624378272,0.0072403326847551505,0.0051140360066284085,0.005670897395991974,0.00663062707544898,0.00823970113837485,0.011128580357687247,0.010155383635457035,0.00012166795276847074,0.0,0.0,0.0,0.003091925753562196,0.0,0.007235635775000692,0.004908410710686676,0.00011873971669591329,0.004272916500899111,0.005682467264676409,0.009171416351182071,0.0021229655435693853,0.008974039389569182,0.0036319690265135826,0.006273740993200417,0.010745925295602999,0.006944782777267077,0.004951284992996732,0.008576246985882606,0.006255133291674433,0.00015883197357727407,0.017012725149607975,0.009426767527309731,0.00939673163648685,0.009325225740153504,0.009510873867656684,0.009344739355240984,0.006532166543421501,0.007931826395369684,0.0013975856651541013,0.008413459161499428,0.008017938586580297,0.010672609609009526,0.007570788720926632,0.0021638235847429824,0.016838059018735693,7.895137486264351e-05,0.008677197322815869,0.0071808197787940654,0.006089902071428142,0.010056366874338463,0.006635393080184806,0.005184898276734644,0.008187615056684396,0.009155699335180137,0.008527006119078443,0.010298076394050486,0.009159998708577198,0.00929987684025631,0.008424320365136377,0.008301698562175578,0.011493109198033927,0.009340980832238976,0.01082423670125034,0.010097325865965642,0.00903027515364963,0.008877783039363894,0.006786436969242862,0.005999449056820822,0.008421523768422246,0.007612978287923412,0.0068268074418157635,0.005973610224619355,0.006434312325417804,0.005358238211179569
KNORAU,0.008646795020832654,0.009485355924204353,0.006798439170515508,0.0072967885736920845,0.006546308630288089,0.005646703733331885,0.00580642551970693,0.011855778909908014,0.0,0.010437962151434364,0.008280199502625504,0.005954617922744223,0.005550038880156826,0.011179664731456462,0.004881956862913278,0.00868509600577636,0.010418999395621941,0.00635420946383972,0.012199246748062944,0.009372915100669508,0.004271022699837638,0.00744254155314026,0.010686385337060175,0.011874576263410859,0.006374629350015212,0.008330233528358258,0.007976388033671199,0.0,0.01395328160969705,0.01005524316641083,0.015132942837767272,0.007659902015470877,0.007184519021425075,0.006444866720420912,0.013399287579330656,0.008988537130194324,0.006375081055711393,0.008638760511684796,0.006428129559942854,0.006380218330222996,0.006462347682574329,0.005603665459233304,0.007086261695153456,0.005868656325708263,0.00645341431526771,0.0,0.01271449992809615,0.006624575920054376,0.004152767456686385,0.005509165560760101,0.008113107343157299,0.01355185762166423,0.009830552189536948,0.0165312297332624,0.011577051462429912,0.008371689582481886,0.005823678039022747,0.00887036619989479,0.007559473008774312,0.00709006694708186,0.007536744135469838,0.004781725041781449,0.005860445431228887,0.005025816762281406,0.005972280234975266,0.008072666016070327,0.007248810555991367,9.150559412847486e-05,0.0,0.0,0.0,0.003219460417184245,0.0,0.00663464576613622,0.0025813747564951022,0.00011343262865881373,0.005990750645175379,0.005601893725704806,0.007404489765323336,0.0018467369825995402,0.008880559453267486,0.00516363525401391,0.009692734836532626,0.013370392336645463,0.006687496856864067,0.004910635373538758,0.008340062871247191,0.012126447874846633,9.853330105048469e-05,0.011090462374079776,0.01041744901449677,0.008224774593288879,0.009512196295102368,0.011195744965831344,0.011495926775262157,0.007502239413982252,0.006863818568943532,0.0012021152292057964,0.012912811886997933,0.007686290661756026,0.007707594786661967,0.009352107170724239,0.002027769646038071,0.010203539415456734,9.7915490277153e-05,0.01110439767297474,0.005589813069625676,0.01135032898980927,0.009066475650661838,0.00617880288772476,0.0033423839335957124,0.007903556886946111,0.010510550422210644,0.006412609083143894,0.008048373047803354,0.006796042706065599,0.007729884947569692,0.009264359517708732,0.009412428412501969,0.009089664492324248,0.010784164488037913,0.009889023620528516,0.010671623536632131,0.007662355928862602,0.00800159052899063,0.006124052057531117,0.0062437230142244424,0.0094351596730717,0.013164862878730314,0.00953637676761119,0.01279298309458763,0.007619235927865017,0.010740668834950761
LCA,0.012878307572022218,0.011128103245396325,0.0073019150701386015,0.007252236593438627,0.005877465427236024,0.00632645019885545,0.006553976772202896,0.011252855314758671,0.0,0.011254362753116828,0.010652473025826685,0.006760172580849438,0.004244050582919651,0.00821376391665912,0.006293104467648126,0.00940739624548083,0.01039420967452671,0.005013603648355993,0.010306539922885058,0.009510511898146076,0.0035560967287981467,0.008327054380756056,0.011658712901892377,0.009739557080323109,0.008211080488318798,0.008523865303550947,0.006051390399452438,0.0,0.007943874675839133,0.008783233186912839,0.008326960643787166,0.009081380031079795,0.0070388805867209366,0.0076070149072476724,0.008747978035605189,0.010389301277145132,0.007924316714300774,0.012204563525359187,0.006646445548097077,0.006242995866884143,0.006351184934866,0.005852458210698163,0.009100687039665979,0.006123423536311343,0.01040544965124089,0.0,0.013257135310203312,0.0068673173384553,0.0038967831956171766,0.006877939926924507,0.01103548421910772,0.007887131900129794,0.006938849339510466,0.007681646417418821,0.006968974729039226,0.010604861707365073,0.008053984334602356,0.007909703910954973,0.009086352699933353,0.008047905866618077,0.008543231935441098,0.004292117242300317,0.005651650676707685,0.006812633898565708,0.008565461497384196,0.009648204313376435,0.008621516025249095,0.00010043072692158327,0.0,0.0,0.0,0.0051134080044843285,0.0,0.008712835399914676,0.0040349914220335105,0.00011849245659882941,0.004213892046877295,0.006929939842061747,0.01021734611152665,0.002534536127204232,0.00886849150761282,0.003999084658731899,0.012767188535531689,0.012110785272932073,0.006985891140778467,0.006053763728178094,0.007617956923659008,0.012374728216819857,0.00010356584735613116,0.010840606863972336,0.009992114316036159,0.008812621774683078,0.010159397612935836,0.009201622995498275,0.010797635514495188,0.007814499037109185,0.00773203509276219,0.00098651646214754,0.007412081292693264,0.010021690428446044,0.011154990610992283,0.0082005616734066,0.0026478577168337586,0.009584019225851913,9.387113238809172e-05,0.00799129719062392,0.007082136744106743,0.01124250653418635,0.00943433475162869,0.006972760950977149,0.0046073850220204075,0.009031118106182852,0.007933532063131042,0.009016657489843653,0.008079003430845735,0.009322855529181953,0.007942434732842006,0.010380417940224644,0.010527624722124432,0.00817044298154063,0.008785960282801831,0.010743923895216688,0.009494745120513943,0.010020488473418248,0.008546742405062853,0.004766033486294768,0.0052962998289476,0.011527989179251743,0.010075752136868402,0.009842641259775794,0.007652601323212549,0.00796275247498459,0.006531821174494848
MCB,0.012565831741803191,0.01062396081032812,0.008491350351288519,0.007522384948891888,0.0066946408879925345,0.006472979906442469,0.006267016012101133,0.005996256944914606,0.0,0.009903919181767555,0.006433203868647774,0.00648550213375212,0.009920579582455902,0.00984860782529755,0.005419751925843794,0.009130390640235977,0.00936784119864338,0.007963727914753997,0.01516403394622478,0.008544585952103808,0.0044944003298462,0.008076613605445022,0.006281858192802834,0.008133232911489038,0.008269283991976668,0.010755131751653818,0.009824976083145061,0.0,0.008362878690615617,0.0077929068393547424,0.01103504870174046,0.010734529702369471,0.006739915433167555,0.007219983971468797,0.00812442128757685,0.01214264128884602,0.008225782597628432,0.00894910130021601,0.0075429385115581985,0.007117331673243078,0.007114118702666036,0.007169420884467171,0.007324059234928475,0.008224900815027868,0.00791999800652478,0.0,0.00598888029463358,0.009085090674703039,0.004240100311837671,0.007401297783752335,0.015042637046688541,0.010197490983752038,0.009259375740867845,0.01359616677743502,0.007441225484619081,0.006636644233408885,0.006601721870217394,0.013580190642742676,0.00871529625411964,0.006794381057253502,0.008764314301353729,0.005810003937252599,0.0072745712204672795,0.006027702964030248,0.007578192526240795,0.008103364483083892,0.0077128875015047465,0.0005926211300755574,0.0,0.0,0.0,0.0041749290267404145,0.0,0.008911888072787946,0.003069918987888381,0.0001247987794455011,0.004489089696773288,0.006532946753179053,0.006611628200275262,0.0030969876500033812,0.008052330537630764,0.006519395809536023,0.005702365701922949,0.00902776320125151,0.007008744492156094,0.005259606350261743,0.009057749042270328,0.006065254159717145,0.0002767910965428022,0.013205078159846438,0.009609915731998432,0.007425024309197683,0.00952439611510899,0.014170464954572939,0.008882102863303492,0.008241063657190247,0.008374143002600955,0.0007736449108043053,0.011016110623341631,0.007921868635830139,0.008930599439747373,0.007475657824613654,0.003255560142755766,0.013329871603425011,9.539641312979512e-05,0.009170219786174565,0.006560502969583243,0.006063396299460609,0.008344388317142414,0.007657450370877026,0.0052251888166814425,0.008825314860155722,0.008531461332883412,0.007425608733983638,0.009108700004973306,0.0073190373031109,0.00945675877618819,0.009592857056743249,0.009284981384753688,0.014935449499929051,0.012255587628278924,0.009487248081133996,0.011355483239936152,0.00822381047589321,0.00716417209910997,0.011134088903981114,0.007372697912254396,0.007623568742305972,0.008415321785981091,0.005912287363235816,0.008205657173894397,0.005832614304610355,0.006466863329607348
MLP,0.012658415700941242,0.00731338001265356,0.007505112844598668,0.0067489870883738,0.0064573594242805605,0.006063541703536029,0.005753402069225567,0.01352050781022732,0.0,0.013740789769862207,0.010242001987937628,0.006127328379168356,0.006705106576755466,0.007217951684767218,0.00550906958424419,0.007152016913332203,0.007777018903149089,0.008359097896854939,0.01846432716465568,0.006068582618872014,0.0035759650152631947,0.007839607171815675,0.009008973707111134,0.016489725398742393,0.007773547151478593,0.00783948347963192,0.005251940820368933,0.0,0.009795894552411293,0.0109161840356908,0.011082897057604926,0.005384700267060427,0.007846254281106312,0.007783917483802266,0.009462299383585919,0.019110579803185757,0.007105731573734688,0.007599012797568497,0.007947700505842953,0.005367313641617135,0.005523704923622402,0.004381631545721749,0.007236576463146571,0.0042658364815371585,0.005225828964365691,0.0,0.010976687866376218,0.005762131360355705,0.007227463385510747,0.006228581975867242,0.01613072446085517,0.009457893593042797,0.008169167217528958,0.010709459849867603,0.007160412039816502,0.011866819482494292,0.007222348489310179,0.011867867086571612,0.007576454816919878,0.007634639953189761,0.008025844591979038,0.0032571707107700116,0.004267544760089927,0.00432590805059282,0.005229332933245804,0.0065622567845461345,0.0053099537726167614,0.0001371361002592292,0.0,0.0,0.0,0.002798389263397163,0.0,0.005799917879474079,0.005715097842129755,0.00010470451791980484,0.003240763662578009,0.006034563466882294,0.01055697261565036,0.003280422861381424,0.005958875329293567,0.00337803918883916,0.01249841891013414,0.014057151520362214,0.006083854472854308,0.005911350516849974,0.007032234392414089,0.01207658777866115,7.103920791931273e-05,0.015752116963622574,0.009428717123362922,0.010323322426322197,0.009307617662315153,0.013095288105325297,0.010007143476836785,0.007775015997949888,0.0076940968842422386,0.0008104780557946085,0.009644344037236558,0.007536604262502012,0.007311599980416075,0.006281050060436832,0.002431240306319289,0.01686350062255031,9.024920689775913e-05,0.010329149882366793,0.0057169052386521054,0.012105216747184826,0.00854292244563223,0.006357536572700346,0.004654175939499008,0.006683533607784658,0.007789580568828584,0.014369824359308468,0.006928259682327618,0.01486876347252438,0.0066638866242830965,0.009097728484248205,0.006963170841921776,0.01198614220187496,0.0128455062886987,0.008390586893360294,0.00766660836503944,0.007045336644300543,0.011058787260604825,0.009943568473125152,0.011686330359691294,0.006477176394326305,0.006058295904852669,0.0075722590892855985,0.005519616261568402,0.0067030378240445256,0.0047202210518353886
OLA,0.012176391944833838,0.008536464402789138,0.008155837491092704,0.009061871450273339,0.006305595085862176,0.004775509193154535,0.004653370211505394,0.0066976978998633165,0.0,0.0089413174990176,0.009550705002048361,0.004949371104640673,0.009050768622921618,0.008647755749628078,0.0051694730606817625,0.009184222175431463,0.006715989683877147,0.009072499515012843,0.015130097078623376,0.009625091761425559,0.00392119669282574,0.008285385318810047,0.009100876718515465,0.009044025421479675,0.007439351666088297,0.012119368810106428,0.008869239994305184,0.0,0.010950903184538577,0.008805543143627314,0.011638545652514739,0.008028988909183968,0.005790421935566347,0.007277985371843436,0.008137507399505113,0.014264497605863617,0.006600667884191144,0.010153032463321141,0.007530581854971438,0.008178834233357182,0.007561702936139808,0.006038962113854896,0.007915599099710076,0.006269465668061852,0.007437951205977709,0.0,0.007124573629925095,0.008405401300247627,0.004113058270035787,0.006477476452442079,0.012463644881834574,0.01124960814287429,0.012905747660880991,0.012142831557116802,0.008079978925396525,0.008427612512459347,0.008202975262372635,0.009514385069390565,0.008994958829102125,0.007563722605647073,0.008502517085916858,0.005300183060050299,0.005838714782282145,0.00673446157469745,0.007663128740404088,0.009141519122053531,0.010189474205783462,0.00014043508617610342,0.0,0.0,0.0,0.0026017766161290003,0.0,0.00829079485090603,0.0031517227933727534,0.00011152586003617723,0.004113789436296541,0.004774919528308605,0.008308455126329483,0.0025816442983448533,0.008821649503618741,0.0037184324530847006,0.007012701334165925,0.008745983381502726,0.005804118370993628,0.0045147522208180985,0.008629200941010327,0.006548235512276495,0.0001593488363286294,0.01221700104344295,0.008964410797657408,0.007880539256110394,0.010064898236103452,0.01567047279634287,0.01130488228326843,0.00748247514168152,0.007941293211943453,0.0006625616469237546,0.012173765916491467,0.007523940420558844,0.007063465862855923,0.007217226511084157,0.00267325983465033,0.014200113719471432,9.092991501148953e-05,0.008736268973253511,0.006145938315762441,0.006761434913453471,0.008165728069152538,0.00756784202362314,0.00488041011284362,0.007312705695615591,0.008491358099724343,0.006913661804513035,0.010237946702271489,0.007492782393466856,0.010317847768206066,0.009051129255857104,0.011094779323502118,0.0125306391643867,0.009864464518198572,0.010635483563821132,0.009548655414414436,0.007770784345068255,0.008543813484978484,0.009214299241815558,0.007986934250221343,0.006651094460294984,0.013581603816114327,0.005701265997874693,0.011234606187504059,0.005551564339991003,0.010057597132818988
Percep,0.009881099563294764,0.009062305878193056,0.006876625570144029,0.007717504181845968,0.007258551921071647,0.007074952116556885,0.007305169192845398,0.008278622027967423,0.0,0.009809027479237628,0.008012486985695207,0.007261594729230217,0.004411536454886383,0.008329281280543659,0.007137992190448196,0.009779827656520397,0.010744933254154501,0.004682294952773797,0.007982891174849883,0.009244015996929528,0.003905059416586952,0.008537279461708817,0.0104233019481741,0.008551923695604851,0.009474154039362158,0.008844196569077267,0.006188773336312569,0.0,0.010748502786617294,0.009473822164767741,0.011448298221705061,0.008037097486404075,0.007216903552862641,0.007735391898051415,0.010457526806351642,0.008114138635322258,0.007524044271473896,0.011332706141187521,0.00762868233768347,0.007106953459248732,0.00695551197310352,0.006452019430383815,0.008147898986610403,0.0067220964493907125,0.008839531008062524,0.0,0.00795888386992697,0.007356918602664708,0.0045388814828378945,0.0067449278649597795,0.010014367516691207,0.008231660110345698,0.00812689145590483,0.0093664036724023,0.008686997569241954,0.008450538954063341,0.007421125654417871,0.009125154365364914,0.008962861005177371,0.008364802363504205,0.008239425008821816,0.004169218196219826,0.006400998311340116,0.0070072502205997395,0.008029615025863978,0.008672286317105456,0.009213864940590349,9.611438208734644e-05,0.0,0.0,0.0,0.004792200588812342,0.0,0.006800546762227797,0.004526953820944083,0.00011223907473620227,0.005662487114245492,0.007037874567384345,0.008097471282764102,0.0021796758839069054,0.0085105260667995,0.004354030966438923,0.008255779354632104,0.011736643837180809,0.007803150665407486,0.006454203296127647,0.008346723665422757,0.007852664877291169,0.00015576335586267673,0.008322497176189294,0.010478454159936241,0.009306190379312221,0.01147357391361985,0.009424495353186837,0.012436420543497233,0.008393340270156223,0.006784703296217695,0.0009336152878358639,0.008270524846206492,0.008000956884152597,0.009722704852839822,0.00820883295529718,0.00199789139327764,0.00762600975058449,9.348203178955829e-05,0.008610869878087343,0.007266302933610936,0.008046585894048391,0.012029650982374778,0.007832628614574665,0.005025682969001697,0.011951072852028757,0.009280376634082002,0.009235709429233187,0.009614643211097158,0.009881724756133737,0.00970846805869589,0.013150782957625697,0.009187551326155,0.010922216562162222,0.008603712738820869,0.013302933323843602,0.01119595457677406,0.012247743649447834,0.009410294912775214,0.006969772662338908,0.006896756476169738,0.010189009934135936,0.00965514482665047,0.009575603549293172,0.006126922030002414,0.008095044681996455,0.005938497731182651
