,RF,ET,XGB,BAG,KNE,KNU,MTD,DMI
Bagging,0.3488,0.3340,0.3233,0.2928,0.2955,0.3701,0.3256,0.3389
GLVQ,0.5489,0.5243,0.5541,0.2435,0.4813,0.5155,0.5478,0.5235
GP,0.5077,0.5044,0.4886,0.2548,0.4189,0.5000,0.4860,0.4540
KNORAE,0.3142,0.3273,0.3317,0.2211,0.2629,0.3182,0.3033,0.3067
KNORAU,0.3503,0.3637,0.3343,0.2765,0.3246,0.3989,0.3900,0.3936
LCA,0.2546,0.2452,0.2406,0.2458,0.2516,0.2821,0.2948,0.2873
MCB,0.3452,0.3392,0.3778,0.3131,0.3036,0.3794,0.3323,0.3741
MLP,0.4331,0.4407,0.4138,0.3055,0.4005,0.4280,0.4832,0.4440
OLA,0.3369,0.3920,0.3709,0.2289,0.2805,0.3398,0.3423,0.3523
Percep,0.1622,0.1728,0.1999,0.1631,0.1957,0.1917,0.1707,0.2048
SVM_RBF,0.5175,0.5079,0.5137,0.3603,0.4750,0.4919,0.5038,0.5322
SVM_lin,0.4281,0.4199,0.4170,0.2571,0.3650,0.3780,0.3811,0.4043
Median,0.3496,0.3779,0.3744,0.2560,0.3141,0.3787,0.3617,0.3839
Mean,0.3790,0.3810,0.3805,0.2635,0.3379,0.3828,0.3801,0.3846
Std-dev,0.1133,0.1070,0.1053,0.0509,0.0906,0.0946,0.1083,0.0958
Mean rank,3.5833,3.5833,3.6667,7.6667,6.5833,3.6667,4.1667,3.0833
